 Height(km) hr_clear(K/day)  hr_allsky(K/day)  cf (K/day)
 0.00  -0.5360  -0.7860  -0.2277
 0.10  -0.3105  -0.4948  -0.1727
 0.20  -0.0853  -0.2038  -0.1177
 0.30   0.0769   0.0183  -0.0652
 0.40  -0.0214  -0.0349  -0.0148
 0.50  -0.1937  -0.1720   0.0292
 0.60  -0.3848  -0.3370   0.0648
 0.70  -0.5709  -0.5013   0.0957
 0.80  -0.7187  -0.6272   0.1248
 0.90  -0.8180  -0.7007   0.1555
 1.00  -0.8868  -0.7480   0.1807
 1.10  -0.9497  -0.8025   0.1924
 1.20  -1.0050  -0.8746   0.1784
 1.30  -1.0434  -0.9632   0.1301
 1.40  -1.0704  -1.0591   0.0626
 1.50  -1.0902  -1.1479  -0.0055
 1.60  -1.1034  -1.2173  -0.0610
 1.70  -1.1116  -1.2589  -0.0942
 1.80  -1.1182  -1.2664  -0.0948
 1.90  -1.1258  -1.2593  -0.0799
 2.00  -1.1293  -1.2470  -0.0642
 2.10  -1.1254  -1.2269  -0.0485
 2.20  -1.1158  -1.2003  -0.0320
 2.30  -1.1062  -1.1746  -0.0166
 2.40  -1.0982  -1.1515  -0.0020
 2.50  -1.0902  -1.1261   0.0150
 2.60  -1.0832  -1.1029   0.0307
 2.70  -1.0804  -1.0848   0.0459
 2.80  -1.0799  -1.0706   0.0594
 2.90  -1.0791  -1.0613   0.0678
 3.00  -1.0780  -1.0479   0.0799
 3.10  -1.0769  -1.0377   0.0889
 3.20  -1.0812  -1.0324   0.0986
 3.30  -1.0885  -1.0296   0.1090
 3.40  -1.0937  -1.0251   0.1189
 3.50  -1.0958  -1.0184   0.1278
 3.60  -1.0954  -1.0111   0.1345
 3.70  -1.0928  -1.0037   0.1392
 3.80  -1.0889  -0.9966   0.1421
 3.90  -1.0832  -0.9910   0.1417
 4.00  -1.0747  -0.9857   0.1380
 4.10  -1.0660  -0.9783   0.1361
 4.20  -1.0577  -0.9653   0.1404
 4.30  -1.0487  -0.9506   0.1456
 4.40  -1.0461  -0.9431   0.1504
 4.50  -1.0541  -0.9477   0.1541
 4.60  -1.0678  -0.9565   0.1599
 4.70  -1.0825  -0.9641   0.1678
 4.80  -1.0970  -0.9649   0.1823
 4.90  -1.1110  -0.9621   0.1998
 5.00  -1.1230  -0.9504   0.2243
 5.10  -1.1338  -0.9308   0.2554
 5.20  -1.1470  -0.9262   0.2740
 5.30  -1.1622  -0.9443   0.2720
 5.40  -1.1756  -0.9605   0.2699
 5.50  -1.1872  -0.9838   0.2589
 5.60  -1.1966  -1.0033   0.2495
 5.70  -1.2034  -1.0166   0.2433
