     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1396  -0.1679  -0.3074
 0.10  -0.1438  -0.0770  -0.2207
 0.20  -0.1479   0.0139  -0.1339
 0.30  -0.1517   0.0975  -0.0542
 0.40  -0.1549   0.1666   0.0117
 0.50  -0.1569   0.2216   0.0647
 0.60  -0.1574   0.2648   0.1073
 0.70  -0.1574   0.3040   0.1467
 0.80  -0.1568   0.3411   0.1843
 0.90  -0.1551   0.3790   0.2240
 1.00  -0.1520   0.4131   0.2611
 1.10  -0.1478   0.4354   0.2876
 1.20  -0.1427   0.4493   0.3065
 1.30  -0.1380   0.4477   0.3097
 1.40  -0.1351   0.4299   0.2947
 1.50  -0.1331   0.4055   0.2723
 1.60  -0.1311   0.3733   0.2421
 1.70  -0.1297   0.3435   0.2138
 1.80  -0.1290   0.3174   0.1885
 1.90  -0.1286   0.2934   0.1649
 2.00  -0.1282   0.2655   0.1372
 2.10  -0.1293   0.2519   0.1226
 2.20  -0.1311   0.2473   0.1161
 2.30  -0.1327   0.2444   0.1117
 2.40  -0.1344   0.2436   0.1091
 2.50  -0.1366   0.2490   0.1124
 2.60  -0.1390   0.2612   0.1222
 2.70  -0.1415   0.2778   0.1363
 2.80  -0.1435   0.2911   0.1476
 2.90  -0.1450   0.2961   0.1512
 3.00  -0.1477   0.3177   0.1701
 3.10  -0.1492   0.3340   0.1849
 3.20  -0.1503   0.3473   0.1971
 3.30  -0.1508   0.3598   0.2090
 3.40  -0.1510   0.3740   0.2229
 3.50  -0.1509   0.3857   0.2350
 3.60  -0.1503   0.3957   0.2455
 3.70  -0.1495   0.4050   0.2555
 3.80  -0.1483   0.4111   0.2628
 3.90  -0.1463   0.4077   0.2615
 4.00  -0.1444   0.4086   0.2642
 4.10  -0.1428   0.4058   0.2631
 4.20  -0.1420   0.4087   0.2666
 4.30  -0.1419   0.4097   0.2678
 4.40  -0.1430   0.4175   0.2744
 4.50  -0.1447   0.4255   0.2808
 4.60  -0.1463   0.4266   0.2804
 4.70  -0.1477   0.4291   0.2814
 4.80  -0.1489   0.4368   0.2879
 4.90  -0.1494   0.4565   0.3070
 5.00  -0.1488   0.5109   0.3620
 5.10  -0.1470   0.5978   0.4507
 5.20  -0.1441   0.6604   0.5163
 5.30  -0.1403   0.6731   0.5328
 5.40  -0.1352   0.6853   0.5501
 5.50  -0.1314   0.6684   0.5369
 5.60  -0.1265   0.6515   0.5249
 5.70  -0.1224   0.6312   0.5089
 5.80  -0.1170   0.6079   0.4909
 5.90  -0.1126   0.5975   0.4849
 6.00  -0.1075   0.5889   0.4814
 6.10  -0.1025   0.5741   0.4716
 6.20  -0.0952   0.5464   0.4512
 6.30  -0.0903   0.5403   0.4499
 6.40  -0.0848   0.5333   0.4484
 6.50  -0.0786   0.5242   0.4456
 6.60  -0.0716   0.5147   0.4431
 6.70  -0.0647   0.5072   0.4425
 6.80  -0.0580   0.4972   0.4393
 6.90  -0.0516   0.4828   0.4312
 7.00  -0.0470   0.4759   0.4288
 7.10  -0.0423   0.4633   0.4210
 7.20  -0.0395   0.4568   0.4173
 7.30  -0.0394   0.4633   0.4239
 7.40  -0.0390   0.4638   0.4248
 7.50  -0.0404   0.4784   0.4380
 7.60  -0.0423   0.4959   0.4537
 7.70  -0.0441   0.5160   0.4720
 7.80  -0.0443   0.5324   0.4881
 7.90  -0.0434   0.5460   0.5026
 8.00  -0.0416   0.5578   0.5161
 8.10  -0.0403   0.5738   0.5335
 8.20  -0.0377   0.5936   0.5560
 8.30  -0.0316   0.5989   0.5674
 8.40  -0.0238   0.6025   0.5788
 8.50  -0.0156   0.6113   0.5958
 8.60  -0.0067   0.6173   0.6106
 8.70   0.0021   0.6226   0.6246
 8.80   0.0109   0.6283   0.6392
 8.90   0.0198   0.6326   0.6524
 9.00   0.0275   0.6423   0.6698
 9.10   0.0356   0.6490   0.6846
 9.20   0.0438   0.6555   0.6993
