     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1133  -0.1501  -0.2633
 0.10  -0.1164  -0.0747  -0.1909
 0.20  -0.1194   0.0008  -0.1186
 0.30  -0.1223   0.0718  -0.0506
 0.40  -0.1249   0.1330   0.0081
 0.50  -0.1266   0.1826   0.0561
 0.60  -0.1276   0.2247   0.0971
 0.70  -0.1279   0.2647   0.1368
 0.80  -0.1273   0.3027   0.1755
 0.90  -0.1250   0.3383   0.2132
 1.00  -0.1205   0.3625   0.2420
 1.10  -0.1132   0.3688   0.2555
 1.20  -0.1021   0.3430   0.2410
 1.30  -0.0904   0.2976   0.2072
 1.40  -0.0795   0.2240   0.1445
 1.50  -0.0714   0.1407   0.0693
 1.60  -0.0677   0.0807   0.0129
 1.70  -0.0677   0.0438  -0.0240
 1.80  -0.0704   0.0382  -0.0322
 1.90  -0.0750   0.0659  -0.0090
 2.00  -0.0779   0.0807   0.0029
 2.10  -0.0799   0.0908   0.0109
 2.20  -0.0816   0.0941   0.0124
 2.30  -0.0837   0.1057   0.0219
 2.40  -0.0862   0.1197   0.0335
 2.50  -0.0886   0.1364   0.0478
 2.60  -0.0908   0.1522   0.0613
 2.70  -0.0925   0.1623   0.0698
 2.80  -0.0940   0.1756   0.0817
 2.90  -0.0949   0.1784   0.0837
 3.00  -0.0962   0.1907   0.0945
 3.10  -0.0969   0.1966   0.0997
 3.20  -0.0975   0.2059   0.1085
 3.30  -0.0979   0.2181   0.1202
 3.40  -0.0980   0.2281   0.1301
 3.50  -0.0976   0.2347   0.1372
 3.60  -0.0971   0.2419   0.1448
 3.70  -0.0964   0.2466   0.1502
 3.80  -0.0955   0.2510   0.1555
 3.90  -0.0941   0.2482   0.1541
 4.00  -0.0927   0.2449   0.1521
 4.10  -0.0916   0.2424   0.1507
 4.20  -0.0913   0.2480   0.1567
 4.30  -0.0911   0.2543   0.1633
 4.40  -0.0910   0.2575   0.1664
 4.50  -0.0911   0.2586   0.1675
 4.60  -0.0913   0.2600   0.1687
 4.70  -0.0914   0.2650   0.1735
 4.80  -0.0916   0.2801   0.1885
 4.90  -0.0915   0.3013   0.2099
 5.00  -0.0900   0.3374   0.2474
 5.10  -0.0880   0.3863   0.2984
 5.20  -0.0849   0.4206   0.3355
 5.30  -0.0804   0.4291   0.3487
 5.40  -0.0751   0.4413   0.3662
 5.50  -0.0692   0.4168   0.3475
 5.60  -0.0637   0.3862   0.3225
 5.70  -0.0594   0.3760   0.3167
 5.80  -0.0545   0.3646   0.3101
 5.90  -0.0501   0.3557   0.3057
 6.00  -0.0453   0.3455   0.3002
 6.10  -0.0399   0.3320   0.2921
 6.20  -0.0345   0.3169   0.2824
 6.30  -0.0300   0.3111   0.2811
 6.40  -0.0253   0.3002   0.2749
 6.50  -0.0208   0.2936   0.2728
 6.60  -0.0148   0.2789   0.2640
 6.70  -0.0095   0.2624   0.2529
 6.80  -0.0057   0.2528   0.2471
 6.90  -0.0018   0.2445   0.2427
 7.00   0.0006   0.2394   0.2401
 7.10   0.0029   0.2339   0.2368
 7.20   0.0047   0.2319   0.2366
 7.30   0.0040   0.2394   0.2434
 7.40   0.0037   0.2438   0.2474
 7.50   0.0030   0.2537   0.2567
 7.60   0.0026   0.2661   0.2688
 7.70   0.0021   0.2794   0.2816
 7.80   0.0024   0.2899   0.2924
 7.90   0.0028   0.2979   0.3007
 8.00   0.0049   0.2986   0.3035
 8.10   0.0054   0.3079   0.3132
 8.20   0.0080   0.3178   0.3258
 8.30   0.0130   0.3173   0.3304
 8.40   0.0182   0.3123   0.3306
 8.50   0.0229   0.3163   0.3393
 8.60   0.0277   0.3235   0.3512
 8.70   0.0338   0.3254   0.3592
 8.80   0.0398   0.3245   0.3644
 8.90   0.0449   0.3274   0.3723
 9.00   0.0496   0.3328   0.3824
 9.10   0.0544   0.3400   0.3944
 9.20   0.0589   0.3486   0.4075
 9.30   0.0639   0.3562   0.4202
 9.40   0.0688   0.3694   0.4383
 9.50   0.0750   0.3771   0.4521
 9.60   0.0821   0.3835   0.4655
 9.70   0.0892   0.3914   0.4807
 9.80   0.0971   0.3955   0.4926
 9.90   0.1059   0.3942   0.5001
10.00   0.1150   0.3927   0.5077
10.10   0.1252   0.3896   0.5148
10.20   0.1357   0.3868   0.5225
10.30   0.1470   0.3822   0.5292
10.40   0.1586   0.3764   0.5349
10.50   0.1700   0.3717   0.5417
10.60   0.1817   0.3670   0.5488
10.70   0.1936   0.3610   0.5547
10.80   0.2058   0.3544   0.5603
10.90   0.2184   0.3474   0.5658
11.00   0.2318   0.3369   0.5687
11.10   0.2460   0.3219   0.5679
11.20   0.2601   0.3074   0.5675
11.30   0.2750   0.2907   0.5657
11.40   0.2900   0.2745   0.5645
11.50   0.3051   0.2565   0.5616
11.60   0.3206   0.2396   0.5603
11.70   0.3360   0.2205   0.5565
11.80   0.3509   0.1998   0.5507
11.90   0.3652   0.1770   0.5422
12.00   0.3788   0.1554   0.5342
12.10   0.3915   0.1333   0.5249
12.20   0.4037   0.1096   0.5134
12.30   0.4138   0.0873   0.5011
12.40   0.4197   0.0698   0.4895
12.50   0.4232   0.0521   0.4754
12.60   0.4247   0.0332   0.4578
12.70   0.4240   0.0152   0.4393
12.80   0.4212  -0.0002   0.4210
12.90   0.4178  -0.0137   0.4041
13.00   0.4132  -0.0293   0.3840
13.10   0.4071  -0.0431   0.3640
13.20   0.3995  -0.0563   0.3432
13.30   0.3902  -0.0665   0.3237
13.40   0.3795  -0.0743   0.3052
13.50   0.3680  -0.0810   0.2870
13.60   0.3550  -0.0831   0.2720
13.70   0.3422  -0.0863   0.2559
13.80   0.3287  -0.0861   0.2425
13.90   0.3150  -0.0860   0.2290
14.00   0.3012  -0.0848   0.2165
14.10   0.2868  -0.0802   0.2066
14.20   0.2735  -0.0784   0.1951
14.30   0.2592  -0.0731   0.1861
14.40   0.2451  -0.0674   0.1778
14.50   0.2307  -0.0580   0.1727
14.60   0.2167  -0.0498   0.1669
14.70   0.2028  -0.0394   0.1633
14.80   0.1883  -0.0265   0.1618
14.90   0.1750  -0.0145   0.1605
15.00   0.1619  -0.0015   0.1604
15.10   0.1505   0.0085   0.1589
15.20   0.1393   0.0187   0.1581
15.30   0.1288   0.0267   0.1555
15.40   0.1193   0.0326   0.1519
15.50   0.1102   0.0399   0.1501
15.60   0.1015   0.0477   0.1493
15.70   0.0934   0.0560   0.1494
15.80   0.0855   0.0653   0.1508
15.90   0.0788   0.0736   0.1523
16.00   0.0739   0.0768   0.1507
16.10   0.0694   0.0799   0.1493
16.20   0.0655   0.0826   0.1481
16.30   0.0616   0.0837   0.1453
16.40   0.0576   0.0821   0.1397
16.50   0.0539   0.0790   0.1329
16.60   0.0497   0.0760   0.1256
16.70   0.0454   0.0705   0.1159
16.80   0.0411   0.0660   0.1071
16.90   0.0369   0.0599   0.0968
17.00   0.0331   0.0506   0.0837
17.10   0.0295   0.0403   0.0699
17.20   0.0253   0.0330   0.0583
17.30   0.0220   0.0223   0.0443
17.40   0.0190   0.0122   0.0312
17.50   0.0160   0.0013   0.0173
17.60   0.0138  -0.0082   0.0056
17.70   0.0123  -0.0161  -0.0038
17.80   0.0109  -0.0254  -0.0145
17.90   0.0095  -0.0322  -0.0227
18.00   0.0089  -0.0378  -0.0290
18.10   0.0084  -0.0426  -0.0342
