     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1622  -0.1562  -0.3180
 0.10  -0.1669  -0.0612  -0.2279
 0.20  -0.1716   0.0338  -0.1379
 0.30  -0.1760   0.1189  -0.0571
 0.40  -0.1796   0.1887   0.0093
 0.50  -0.1820   0.2450   0.0630
 0.60  -0.1834   0.2907   0.1069
 0.70  -0.1842   0.3321   0.1481
 0.80  -0.1841   0.3709   0.1869
 0.90  -0.1825   0.4099   0.2275
 1.00  -0.1794   0.4412   0.2620
 1.10  -0.1747   0.4609   0.2862
 1.20  -0.1691   0.4704   0.3014
 1.30  -0.1635   0.4759   0.3125
 1.40  -0.1603   0.4630   0.3026
 1.50  -0.1588   0.4402   0.2813
 1.60  -0.1580   0.4088   0.2508
 1.70  -0.1584   0.3855   0.2271
 1.80  -0.1593   0.3661   0.2068
 1.90  -0.1600   0.3422   0.1824
 2.00  -0.1609   0.3261   0.1651
 2.10  -0.1621   0.3140   0.1521
 2.20  -0.1632   0.2958   0.1329
 2.30  -0.1651   0.2987   0.1336
 2.40  -0.1672   0.3029   0.1357
 2.50  -0.1692   0.3088   0.1397
 2.60  -0.1712   0.3161   0.1449
 2.70  -0.1733   0.3261   0.1527
 2.80  -0.1752   0.3389   0.1637
 2.90  -0.1761   0.3381   0.1623
 3.00  -0.1779   0.3493   0.1716
 3.10  -0.1790   0.3581   0.1792
 3.20  -0.1802   0.3708   0.1906
 3.30  -0.1809   0.3861   0.2052
 3.40  -0.1813   0.4019   0.2207
 3.50  -0.1807   0.4114   0.2308
 3.60  -0.1796   0.4179   0.2384
 3.70  -0.1786   0.4272   0.2485
 3.80  -0.1770   0.4292   0.2520
 3.90  -0.1751   0.4245   0.2496
 4.00  -0.1737   0.4351   0.2614
 4.10  -0.1719   0.4327   0.2608
 4.20  -0.1716   0.4446   0.2729
 4.30  -0.1713   0.4511   0.2798
 4.40  -0.1724   0.4643   0.2919
 4.50  -0.1735   0.4675   0.2942
 4.60  -0.1751   0.4709   0.2959
 4.70  -0.1774   0.4756   0.2983
 4.80  -0.1799   0.4810   0.3012
 4.90  -0.1819   0.4975   0.3157
 5.00  -0.1832   0.5476   0.3644
 5.10  -0.1838   0.6340   0.4503
 5.20  -0.1822   0.7135   0.5311
 5.30  -0.1784   0.7656   0.5871
 5.40  -0.1734   0.8303   0.6567
 5.50  -0.1690   0.8065   0.6374
 5.60  -0.1614   0.7706   0.6091
 5.70  -0.1579   0.7556   0.5979
 5.80  -0.1541   0.7271   0.5731
 5.90  -0.1507   0.7048   0.5540
 6.00  -0.1459   0.6829   0.5370
 6.10  -0.1415   0.6703   0.5288
 6.20  -0.1360   0.6589   0.5227
 6.30  -0.1292   0.6491   0.5198
 6.40  -0.1222   0.6366   0.5143
 6.50  -0.1163   0.6249   0.5084
 6.60  -0.1082   0.6035   0.4951
 6.70  -0.1004   0.5900   0.4897
 6.80  -0.0932   0.5819   0.4889
 6.90  -0.0849   0.5670   0.4821
 7.00  -0.0793   0.5610   0.4817
 7.10  -0.0724   0.5485   0.4760
 7.20  -0.0684   0.5422   0.4739
 7.30  -0.0689   0.5544   0.4855
 7.40  -0.0681   0.5525   0.4843
 7.50  -0.0684   0.5562   0.4878
 7.60  -0.0690   0.5670   0.4981
 7.70  -0.0712   0.5872   0.5162
 7.80  -0.0738   0.6066   0.5329
 7.90  -0.0751   0.6245   0.5495
 8.00  -0.0744   0.6393   0.5651
 8.10  -0.0733   0.6477   0.5745
 8.20  -0.0718   0.6643   0.5927
 8.30  -0.0665   0.6740   0.6079
 8.40  -0.0589   0.6793   0.6204
 8.50  -0.0514   0.6905   0.6391
 8.60  -0.0436   0.7044   0.6608
 8.70  -0.0340   0.7139   0.6797
 8.80  -0.0230   0.7215   0.6986
 8.90  -0.0130   0.7330   0.7199
 9.00  -0.0040   0.7466   0.7424
 9.10   0.0048   0.7627   0.7675
 9.20   0.0134   0.7735   0.7869
 9.30   0.0202   0.7921   0.8123
 9.40   0.0269   0.8138   0.8407
 9.50   0.0361   0.8380   0.8740
 9.60   0.0462   0.8620   0.9081
 9.70   0.0586   0.8873   0.9459
 9.80   0.0693   0.8996   0.9690
 9.90   0.0829   0.8971   0.9801
10.00   0.0980   0.9048   1.0028
10.10   0.1152   0.9089   1.0242
10.20   0.1342   0.9121   1.0462
10.30   0.1539   0.9174   1.0712
10.40   0.1748   0.9138   1.0886
10.50   0.1952   0.9171   1.1122
10.60   0.2167   0.9185   1.1352
10.70   0.2347   0.9248   1.1596
10.80   0.2526   0.9258   1.1784
10.90   0.2716   0.9318   1.2034
11.00   0.2940   0.9286   1.2226
11.10   0.3192   0.9107   1.2296
11.20   0.3448   0.8990   1.2437
11.30   0.3711   0.8805   1.2515
11.40   0.3969   0.8685   1.2653
11.50   0.4271   0.8458   1.2728
11.60   0.4595   0.8284   1.2877
11.70   0.4908   0.8124   1.3033
11.80   0.5245   0.7850   1.3096
11.90   0.5581   0.7605   1.3184
12.00   0.5913   0.7279   1.3194
12.10   0.6248   0.6939   1.3189
12.20   0.6592   0.6562   1.3156
12.30   0.6914   0.6315   1.3229
12.40   0.7195   0.6025   1.3221
