     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0723  -0.1265  -0.1988
 0.10  -0.0739  -0.0750  -0.1489
 0.20  -0.0754  -0.0236  -0.0990
 0.30  -0.0769   0.0250  -0.0519
 0.40  -0.0784   0.0693  -0.0091
 0.50  -0.0793   0.1070   0.0277
 0.60  -0.0793   0.1382   0.0588
 0.70  -0.0783   0.1594   0.0811
 0.80  -0.0766   0.1754   0.0987
 0.90  -0.0743   0.1945   0.1202
 1.00  -0.0706   0.2121   0.1415
 1.10  -0.0651   0.2154   0.1502
 1.20  -0.0578   0.1987   0.1409
 1.30  -0.0483   0.1400   0.0917
 1.40  -0.0418   0.0868   0.0450
 1.50  -0.0392   0.0698   0.0306
 1.60  -0.0374   0.0510   0.0136
 1.70  -0.0365   0.0336  -0.0028
 1.80  -0.0366   0.0247  -0.0120
 1.90  -0.0369   0.0100  -0.0268
 2.00  -0.0382   0.0085  -0.0296
 2.10  -0.0394   0.0053  -0.0341
 2.20  -0.0415   0.0166  -0.0249
 2.30  -0.0435   0.0336  -0.0100
 2.40  -0.0451   0.0469   0.0017
 2.50  -0.0466   0.0597   0.0130
 2.60  -0.0480   0.0726   0.0245
 2.70  -0.0493   0.0872   0.0378
 2.80  -0.0501   0.0921   0.0420
 2.90  -0.0507   0.0919   0.0412
 3.00  -0.0528   0.1098   0.0571
 3.10  -0.0541   0.1273   0.0732
 3.20  -0.0548   0.1389   0.0841
 3.30  -0.0554   0.1538   0.0984
 3.40  -0.0557   0.1650   0.1093
 3.50  -0.0555   0.1710   0.1156
 3.60  -0.0551   0.1735   0.1185
 3.70  -0.0546   0.1755   0.1210
 3.80  -0.0538   0.1735   0.1197
 3.90  -0.0525   0.1708   0.1182
 4.00  -0.0512   0.1581   0.1068
 4.10  -0.0505   0.1523   0.1017
 4.20  -0.0503   0.1526   0.1023
 4.30  -0.0507   0.1576   0.1069
 4.40  -0.0510   0.1649   0.1139
 4.50  -0.0510   0.1681   0.1171
 4.60  -0.0507   0.1649   0.1143
 4.70  -0.0502   0.1627   0.1126
 4.80  -0.0496   0.1743   0.1247
 4.90  -0.0489   0.1928   0.1439
 5.00  -0.0477   0.2148   0.1671
 5.10  -0.0462   0.2434   0.1971
 5.20  -0.0440   0.2598   0.2157
 5.30  -0.0416   0.2538   0.2123
 5.40  -0.0380   0.2398   0.2017
 5.50  -0.0350   0.2302   0.1952
 5.60  -0.0329   0.2300   0.1971
 5.70  -0.0303   0.2228   0.1926
 5.80  -0.0268   0.2134   0.1867
 5.90  -0.0236   0.2062   0.1827
 6.00  -0.0198   0.1955   0.1757
 6.10  -0.0160   0.1816   0.1656
 6.20  -0.0122   0.1684   0.1563
 6.30  -0.0095   0.1624   0.1530
 6.40  -0.0068   0.1564   0.1497
 6.50  -0.0036   0.1512   0.1475
 6.60  -0.0008   0.1438   0.1430
 6.70   0.0014   0.1392   0.1405
 6.80   0.0030   0.1366   0.1396
 6.90   0.0049   0.1279   0.1328
 7.00   0.0053   0.1268   0.1321
 7.10   0.0051   0.1291   0.1343
 7.20   0.0048   0.1327   0.1375
 7.30   0.0034   0.1458   0.1491
 7.40   0.0018   0.1579   0.1598
 7.50   0.0006   0.1710   0.1716
 7.60  -0.0006   0.1846   0.1840
 7.70  -0.0008   0.1923   0.1915
 7.80  -0.0009   0.1978   0.1968
 7.90  -0.0011   0.2065   0.2055
 8.00  -0.0004   0.2137   0.2133
 8.10   0.0004   0.2225   0.2230
 8.20   0.0018   0.2326   0.2344
 8.30   0.0047   0.2341   0.2388
 8.40   0.0079   0.2334   0.2413
 8.50   0.0107   0.2369   0.2477
 8.60   0.0138   0.2385   0.2524
 8.70   0.0165   0.2432   0.2596
 8.80   0.0195   0.2472   0.2667
 8.90   0.0230   0.2473   0.2702
 9.00   0.0258   0.2532   0.2790
 9.10   0.0291   0.2565   0.2854
 9.20   0.0323   0.2628   0.2950
 9.30   0.0356   0.2680   0.3036
 9.40   0.0393   0.2716   0.3109
 9.50   0.0430   0.2787   0.3217
 9.60   0.0471   0.2825   0.3296
 9.70   0.0519   0.2874   0.3393
 9.80   0.0568   0.2862   0.3430
 9.90   0.0621   0.2874   0.3495
10.00   0.0677   0.2894   0.3571
10.10   0.0740   0.2870   0.3610
10.20   0.0802   0.2878   0.3680
10.30   0.0873   0.2808   0.3680
10.40   0.0940   0.2783   0.3724
10.50   0.1010   0.2734   0.3745
10.60   0.1082   0.2688   0.3769
10.70   0.1153   0.2643   0.3796
10.80   0.1228   0.2569   0.3797
10.90   0.1305   0.2525   0.3830
11.00   0.1384   0.2428   0.3812
11.10   0.1457   0.2377   0.3834
11.20   0.1541   0.2263   0.3805
11.30   0.1627   0.2166   0.3793
11.40   0.1707   0.2079   0.3786
11.50   0.1787   0.1980   0.3767
11.60   0.1870   0.1902   0.3772
11.70   0.1956   0.1778   0.3735
11.80   0.2041   0.1667   0.3708
11.90   0.2120   0.1509   0.3629
12.00   0.2194   0.1413   0.3607
12.10   0.2262   0.1288   0.3551
12.20   0.2317   0.1214   0.3531
12.30   0.2363   0.1100   0.3463
12.40   0.2388   0.1036   0.3423
12.50   0.2402   0.0918   0.3320
12.60   0.2399   0.0859   0.3258
12.70   0.2391   0.0764   0.3156
12.80   0.2374   0.0693   0.3067
12.90   0.2351   0.0604   0.2955
13.00   0.2311   0.0571   0.2881
13.10   0.2269   0.0472   0.2741
13.20   0.2212   0.0454   0.2666
13.30   0.2156   0.0386   0.2542
13.40   0.2091   0.0365   0.2455
13.50   0.2021   0.0332   0.2354
13.60   0.1948   0.0346   0.2294
13.70   0.1871   0.0340   0.2211
13.80   0.1796   0.0369   0.2166
13.90   0.1715   0.0386   0.2101
14.00   0.1633   0.0391   0.2025
14.10   0.1549   0.0415   0.1964
14.20   0.1472   0.0414   0.1886
14.30   0.1387   0.0476   0.1862
14.40   0.1302   0.0546   0.1847
14.50   0.1221   0.0618   0.1839
14.60   0.1147   0.0669   0.1816
14.70   0.1081   0.0696   0.1776
14.80   0.1009   0.0730   0.1739
14.90   0.0948   0.0722   0.1669
15.00   0.0883   0.0732   0.1615
15.10   0.0821   0.0735   0.1555
15.20   0.0765   0.0711   0.1476
15.30   0.0706   0.0693   0.1399
15.40   0.0648   0.0647   0.1296
15.50   0.0598   0.0579   0.1177
15.60   0.0538   0.0551   0.1089
15.70   0.0491   0.0530   0.1020
15.80   0.0442   0.0497   0.0939
15.90   0.0392   0.0458   0.0850
16.00   0.0354   0.0412   0.0766
16.10   0.0313   0.0362   0.0674
16.20   0.0274   0.0313   0.0586
16.30   0.0242   0.0260   0.0501
16.40   0.0208   0.0216   0.0424
16.50   0.0181   0.0170   0.0351
16.60   0.0159   0.0119   0.0278
16.70   0.0134   0.0066   0.0200
16.80   0.0114   0.0011   0.0125
16.90   0.0094  -0.0052   0.0042
17.00   0.0077  -0.0108  -0.0030
17.10   0.0065  -0.0147  -0.0082
17.20   0.0056  -0.0182  -0.0127
