     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1051  -0.1545  -0.2597
 0.10  -0.1080  -0.0777  -0.1857
 0.20  -0.1109  -0.0009  -0.1118
 0.30  -0.1135   0.0703  -0.0432
 0.40  -0.1157   0.1282   0.0125
 0.50  -0.1168   0.1748   0.0580
 0.60  -0.1167   0.2115   0.0947
 0.70  -0.1162   0.2447   0.1285
 0.80  -0.1153   0.2771   0.1618
 0.90  -0.1141   0.3120   0.1980
 1.00  -0.1119   0.3479   0.2360
 1.10  -0.1088   0.3730   0.2642
 1.20  -0.1051   0.3864   0.2812
 1.30  -0.1015   0.3868   0.2851
 1.40  -0.0991   0.3670   0.2679
 1.50  -0.0961   0.3418   0.2458
 1.60  -0.0922   0.3054   0.2131
 1.70  -0.0891   0.2725   0.1832
 1.80  -0.0874   0.2489   0.1616
 1.90  -0.0857   0.2248   0.1392
 2.00  -0.0839   0.1814   0.0973
 2.10  -0.0840   0.1618   0.0778
 2.20  -0.0857   0.1595   0.0737
 2.30  -0.0871   0.1618   0.0747
 2.40  -0.0888   0.1715   0.0826
 2.50  -0.0900   0.1721   0.0821
 2.60  -0.0908   0.1713   0.0804
 2.70  -0.0928   0.1918   0.0990
 2.80  -0.0929   0.1871   0.0942
 2.90  -0.0912   0.1366   0.0452
 3.00  -0.1006   0.2008   0.1003
 3.10  -0.1060   0.2733   0.1672
 3.20  -0.1077   0.2955   0.1880
 3.30  -0.1081   0.3077   0.1995
 3.40  -0.1082   0.3192   0.2110
 3.50  -0.1082   0.3309   0.2228
 3.60  -0.1076   0.3398   0.2324
 3.70  -0.1064   0.3437   0.2375
 3.80  -0.1049   0.3449   0.2400
 3.90  -0.1028   0.3360   0.2333
 4.00  -0.1012   0.3387   0.2377
 4.10  -0.0988   0.3265   0.2277
 4.20  -0.0978   0.3185   0.2204
 4.30  -0.0980   0.3283   0.2302
 4.40  -0.0985   0.3332   0.2346
 4.50  -0.0997   0.3417   0.2419
 4.60  -0.1006   0.3393   0.2388
 4.70  -0.1007   0.3350   0.2344
 4.80  -0.1006   0.3404   0.2397
 4.90  -0.1010   0.3669   0.2659
 5.00  -0.1001   0.4284   0.3283
 5.10  -0.0976   0.5092   0.4116
 5.20  -0.0941   0.5480   0.4540
 5.30  -0.0915   0.5173   0.4260
 5.40  -0.0872   0.4891   0.4018
 5.50  -0.0834   0.4824   0.3990
 5.60  -0.0807   0.4627   0.3820
 5.70  -0.0764   0.4465   0.3702
 5.80  -0.0726   0.4272   0.3547
 5.90  -0.0693   0.4271   0.3579
 6.00  -0.0638   0.4289   0.3651
 6.10  -0.0590   0.4047   0.3458
 6.20  -0.0474   0.3402   0.2928
 6.30  -0.0453   0.3327   0.2873
 6.40  -0.0434   0.3312   0.2879
 6.50  -0.0364   0.3049   0.2686
 6.60  -0.0310   0.3058   0.2747
 6.70  -0.0267   0.3196   0.2927
 6.80  -0.0217   0.3177   0.2960
 6.90  -0.0156   0.2995   0.2839
 7.00  -0.0114   0.2874   0.2760
 7.10  -0.0090   0.2776   0.2686
 7.20  -0.0074   0.2690   0.2615
 7.30  -0.0096   0.2792   0.2697
 7.40  -0.0123   0.2950   0.2828
 7.50  -0.0158   0.3194   0.3035
 7.60  -0.0203   0.3451   0.3248
 7.70  -0.0221   0.3634   0.3413
 7.80  -0.0234   0.3809   0.3575
 7.90  -0.0231   0.3922   0.3690
 8.00  -0.0206   0.3933   0.3725
 8.10  -0.0195   0.4056   0.3862
 8.20  -0.0186   0.4343   0.4159
 8.30  -0.0130   0.4343   0.4213
 8.40  -0.0072   0.4351   0.4279
 8.50  -0.0011   0.4406   0.4397
 8.60   0.0052   0.4412   0.4465
 8.70   0.0099   0.4520   0.4619
 8.80   0.0159   0.4582   0.4741
 8.90   0.0226   0.4594   0.4820
 9.00   0.0279   0.4596   0.4876
 9.10   0.0337   0.4539   0.4875
 9.20   0.0393   0.4596   0.4989
 9.30   0.0439   0.4704   0.5144
 9.40   0.0487   0.4810   0.5298
 9.50   0.0544   0.4903   0.5448
 9.60   0.0620   0.4930   0.5549
 9.70   0.0716   0.4949   0.5663
 9.80   0.0812   0.4848   0.5661
 9.90   0.0908   0.4760   0.5665
10.00   0.0991   0.4740   0.5729
10.10   0.1084   0.4742   0.5827
10.20   0.1182   0.4793   0.5974
10.30   0.1297   0.4648   0.5945
10.40   0.1389   0.4645   0.6035
10.50   0.1487   0.4580   0.6068
10.60   0.1587   0.4511   0.6098
10.70   0.1679   0.4504   0.6182
10.80   0.1787   0.4460   0.6247
10.90   0.1902   0.4384   0.6286
11.00   0.2019   0.4332   0.6353
11.10   0.2141   0.4215   0.6354
11.20   0.2281   0.4030   0.6313
11.30   0.2422   0.3929   0.6350
11.40   0.2543   0.3915   0.6458
11.50   0.2693   0.3790   0.6484
11.60   0.2845   0.3766   0.6611
11.70   0.3008   0.3619   0.6628
11.80   0.3170   0.3483   0.6654
11.90   0.3320   0.3273   0.6594
12.00   0.3480   0.3152   0.6632
12.10   0.3648   0.2955   0.6601
12.20   0.3801   0.2928   0.6730
12.30   0.3943   0.2820   0.6761
12.40   0.4046   0.2727   0.6772
12.50   0.4123   0.2612   0.6735
12.60   0.4191   0.2455   0.6646
12.70   0.4243   0.2326   0.6569
12.80   0.4289   0.2185   0.6474
12.90   0.4316   0.2020   0.6337
13.00   0.4320   0.1858   0.6177
13.10   0.4317   0.1648   0.5965
13.20   0.4295   0.1467   0.5762
13.30   0.4246   0.1289   0.5534
13.40   0.4179   0.1242   0.5424
13.50   0.4126   0.1016   0.5144
13.60   0.4050   0.1030   0.5079
13.70   0.3967   0.0844   0.4812
13.80   0.3868   0.0899   0.4768
13.90   0.3746   0.0823   0.4569
14.00   0.3614   0.0810   0.4424
14.10   0.3479   0.0756   0.4234
14.20   0.3345   0.0741   0.4087
14.30   0.3180   0.0906   0.4085
14.40   0.3050   0.0985   0.4035
14.50   0.2906   0.1139   0.4045
14.60   0.2782   0.1159   0.3941
14.70   0.2660   0.1174   0.3833
14.80   0.2526   0.1191   0.3716
14.90   0.2396   0.1152   0.3549
15.00   0.2244   0.1184   0.3427
15.10   0.2093   0.1158   0.3250
15.20   0.1965   0.1103   0.3068
15.30   0.1820   0.1147   0.2968
15.40   0.1694   0.1112   0.2809
15.50   0.1570   0.1047   0.2616
15.60   0.1414   0.1080   0.2492
15.70   0.1301   0.1053   0.2355
15.80   0.1183   0.0988   0.2170
15.90   0.1047   0.0992   0.2039
16.00   0.0934   0.0893   0.1829
16.10   0.0798   0.0755   0.1554
16.20   0.0679   0.0692   0.1368
16.30   0.0589   0.0549   0.1134
16.40   0.0463   0.0520   0.0982
16.50   0.0395   0.0353   0.0746
16.60   0.0338   0.0216   0.0554
16.70   0.0258   0.0051   0.0313
16.80   0.0203  -0.0165   0.0039
16.90   0.0144  -0.0295  -0.0149
17.00   0.0112  -0.0418  -0.0304
17.10   0.0085  -0.0489  -0.0405
17.20   0.0064  -0.0540  -0.0476
17.30   0.0056  -0.0582  -0.0527
17.40   0.0054  -0.0595  -0.0542
17.50   0.0054  -0.0605  -0.0551
17.60   0.0056  -0.0619  -0.0562
17.70   0.0059  -0.0632  -0.0572
17.80   0.0063  -0.0645  -0.0581
17.90   0.0067  -0.0661  -0.0594
18.00   0.0071  -0.0679  -0.0608
18.10   0.0076  -0.0697  -0.0623
18.20   0.0080  -0.0718  -0.0636
18.30   0.0085  -0.0738  -0.0652
18.40   0.0090  -0.0760  -0.0668
18.50   0.0095  -0.0780  -0.0685
18.60   0.0101  -0.0803  -0.0701
18.70   0.0107  -0.0819  -0.0712
18.80   0.0112  -0.0830  -0.0722
18.90   0.0115  -0.0841  -0.0727
19.00   0.0119  -0.0852  -0.0732
19.10   0.0123  -0.0866  -0.0739
19.20   0.0128  -0.0876  -0.0749
19.30   0.0133  -0.0888  -0.0754
19.40   0.0138  -0.0900  -0.0761
19.50   0.0145  -0.0912  -0.0767
19.60   0.0151  -0.0927  -0.0776
19.70   0.0155  -0.0942  -0.0783
19.80   0.0166  -0.0957  -0.0793
19.90   0.0171  -0.0972  -0.0801
20.00   0.0179  -0.0989  -0.0811
20.10   0.0188  -0.1006  -0.0818
20.20   0.0196  -0.1024  -0.0828
20.30   0.0203  -0.1041  -0.0837
20.40   0.0213  -0.1061  -0.0846
20.50   0.0225  -0.1080  -0.0856
20.60   0.0236  -0.1099  -0.0864
20.70   0.0245  -0.1113  -0.0869
20.80   0.0253  -0.1121  -0.0869
20.90   0.0259  -0.1126  -0.0866
21.00   0.0266  -0.1129  -0.0862
21.10   0.0276  -0.1133  -0.0859
21.20   0.0280  -0.1138  -0.0857
21.30   0.0289  -0.1144  -0.0853
21.40   0.0299  -0.1148  -0.0850
21.50   0.0305  -0.1155  -0.0848
21.60   0.0315  -0.1160  -0.0846
