     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0901  -0.1310  -0.2213
 0.10  -0.0926  -0.0692  -0.1619
 0.20  -0.0951  -0.0074  -0.1026
 0.30  -0.0976   0.0517  -0.0459
 0.40  -0.0999   0.1057   0.0058
 0.50  -0.1014   0.1488   0.0474
 0.60  -0.1021   0.1834   0.0813
 0.70  -0.1022   0.2158   0.1136
 0.80  -0.1016   0.2466   0.1450
 0.90  -0.0999   0.2758   0.1759
 1.00  -0.0967   0.2983   0.2016
 1.10  -0.0915   0.3077   0.2160
 1.20  -0.0843   0.2956   0.2113
 1.30  -0.0760   0.2595   0.1835
 1.40  -0.0692   0.2111   0.1418
 1.50  -0.0642   0.1604   0.0962
 1.60  -0.0609   0.1126   0.0517
 1.70  -0.0602   0.0845   0.0243
 1.80  -0.0616   0.0767   0.0151
 1.90  -0.0639   0.0808   0.0169
 2.00  -0.0665   0.0887   0.0221
 2.10  -0.0690   0.1001   0.0312
 2.20  -0.0710   0.1089   0.0379
 2.30  -0.0727   0.1158   0.0432
 2.40  -0.0741   0.1222   0.0481
 2.50  -0.0757   0.1311   0.0553
 2.60  -0.0773   0.1423   0.0650
 2.70  -0.0792   0.1603   0.0811
 2.80  -0.0802   0.1697   0.0895
 2.90  -0.0811   0.1775   0.0965
 3.00  -0.0819   0.1887   0.1068
 3.10  -0.0824   0.1963   0.1139
 3.20  -0.0827   0.2053   0.1226
 3.30  -0.0826   0.2101   0.1275
 3.40  -0.0825   0.2153   0.1329
 3.50  -0.0823   0.2218   0.1395
 3.60  -0.0819   0.2247   0.1429
 3.70  -0.0817   0.2310   0.1494
 3.80  -0.0810   0.2325   0.1515
 3.90  -0.0802   0.2318   0.1517
 4.00  -0.0791   0.2242   0.1451
 4.10  -0.0785   0.2199   0.1415
 4.20  -0.0784   0.2228   0.1444
 4.30  -0.0786   0.2254   0.1467
 4.40  -0.0789   0.2283   0.1494
 4.50  -0.0796   0.2337   0.1541
 4.60  -0.0803   0.2377   0.1573
 4.70  -0.0808   0.2444   0.1636
 4.80  -0.0811   0.2540   0.1728
 4.90  -0.0811   0.2755   0.1944
 5.00  -0.0797   0.3179   0.2382
 5.10  -0.0770   0.3648   0.2878
 5.20  -0.0737   0.3912   0.3175
 5.30  -0.0703   0.3858   0.3154
 5.40  -0.0665   0.3822   0.3157
 5.50  -0.0621   0.3670   0.3049
 5.60  -0.0567   0.3504   0.2937
 5.70  -0.0524   0.3386   0.2861
 5.80  -0.0470   0.3231   0.2761
 5.90  -0.0418   0.3110   0.2692
 6.00  -0.0379   0.3005   0.2626
 6.10  -0.0337   0.2930   0.2593
 6.20  -0.0299   0.2857   0.2558
 6.30  -0.0262   0.2772   0.2510
 6.40  -0.0224   0.2702   0.2478
 6.50  -0.0183   0.2651   0.2467
 6.60  -0.0143   0.2567   0.2424
 6.70  -0.0101   0.2479   0.2379
 6.80  -0.0065   0.2413   0.2348
 6.90  -0.0037   0.2330   0.2293
 7.00  -0.0026   0.2298   0.2272
 7.10  -0.0017   0.2273   0.2256
 7.20  -0.0012   0.2293   0.2280
 7.30  -0.0011   0.2354   0.2342
 7.40  -0.0004   0.2367   0.2363
 7.50  -0.0010   0.2488   0.2479
 7.60  -0.0009   0.2573   0.2564
 7.70  -0.0009   0.2690   0.2681
 7.80  -0.0006   0.2765   0.2760
 7.90   0.0004   0.2858   0.2862
 8.00   0.0017   0.2944   0.2962
 8.10   0.0036   0.3049   0.3084
 8.20   0.0060   0.3151   0.3211
 8.30   0.0102   0.3175   0.3277
 8.40   0.0153   0.3161   0.3315
 8.50   0.0201   0.3177   0.3379
 8.60   0.0252   0.3192   0.3444
 8.70   0.0300   0.3208   0.3508
 8.80   0.0343   0.3255   0.3598
 8.90   0.0390   0.3308   0.3698
 9.00   0.0432   0.3382   0.3814
 9.10   0.0477   0.3452   0.3929
 9.20   0.0531   0.3473   0.4004
 9.30   0.0582   0.3522   0.4103
 9.40   0.0632   0.3582   0.4214
 9.50   0.0688   0.3650   0.4338
 9.60   0.0752   0.3720   0.4472
 9.70   0.0818   0.3765   0.4584
 9.80   0.0891   0.3764   0.4655
 9.90   0.0970   0.3743   0.4713
10.00   0.1053   0.3752   0.4806
10.10   0.1152   0.3710   0.4862
10.20   0.1242   0.3731   0.4973
