     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1273  -0.1446  -0.2720
 0.10  -0.1311  -0.0638  -0.1949
 0.20  -0.1349   0.0170  -0.1179
 0.30  -0.1384   0.0915  -0.0470
 0.40  -0.1415   0.1537   0.0120
 0.50  -0.1434   0.2026   0.0591
 0.60  -0.1442   0.2406   0.0965
 0.70  -0.1444   0.2754   0.1311
 0.80  -0.1441   0.3085   0.1645
 0.90  -0.1426   0.3411   0.1985
 1.00  -0.1399   0.3695   0.2297
 1.10  -0.1362   0.3899   0.2536
 1.20  -0.1318   0.4078   0.2759
 1.30  -0.1276   0.4099   0.2822
 1.40  -0.1258   0.3992   0.2732
 1.50  -0.1252   0.3830   0.2577
 1.60  -0.1250   0.3638   0.2388
 1.70  -0.1249   0.3448   0.2200
 1.80  -0.1247   0.3260   0.2013
 1.90  -0.1250   0.3097   0.1849
 2.00  -0.1253   0.2944   0.1692
 2.10  -0.1254   0.2715   0.1461
 2.20  -0.1260   0.2573   0.1313
 2.30  -0.1274   0.2554   0.1281
 2.40  -0.1287   0.2513   0.1226
 2.50  -0.1302   0.2487   0.1184
 2.60  -0.1324   0.2599   0.1275
 2.70  -0.1343   0.2759   0.1416
 2.80  -0.1354   0.2819   0.1465
 2.90  -0.1368   0.2899   0.1532
 3.00  -0.1386   0.3047   0.1659
 3.10  -0.1395   0.3101   0.1707
 3.20  -0.1403   0.3216   0.1813
 3.30  -0.1405   0.3280   0.1874
 3.40  -0.1408   0.3374   0.1967
 3.50  -0.1410   0.3471   0.2064
 3.60  -0.1411   0.3567   0.2158
 3.70  -0.1412   0.3686   0.2275
 3.80  -0.1409   0.3820   0.2410
 3.90  -0.1399   0.3870   0.2472
 4.00  -0.1380   0.3810   0.2430
 4.10  -0.1369   0.3835   0.2466
 4.20  -0.1357   0.3881   0.2523
 4.30  -0.1354   0.3902   0.2549
 4.40  -0.1357   0.3965   0.2609
 4.50  -0.1368   0.4019   0.2651
 4.60  -0.1382   0.4060   0.2677
 4.70  -0.1396   0.4084   0.2687
 4.80  -0.1405   0.4075   0.2669
 4.90  -0.1407   0.4135   0.2727
 5.00  -0.1395   0.4510   0.3113
 5.10  -0.1374   0.5311   0.3936
 5.20  -0.1356   0.5991   0.4635
 5.30  -0.1320   0.6248   0.4926
 5.40  -0.1278   0.6474   0.5198
 5.50  -0.1242   0.6326   0.5083
 5.60  -0.1199   0.6212   0.5012
 5.70  -0.1168   0.5988   0.4819
 5.80  -0.1096   0.5705   0.4606
 5.90  -0.1051   0.5545   0.4494
 6.00  -0.1039   0.5594   0.4555
 6.10  -0.1006   0.5549   0.4544
 6.20  -0.0973   0.5455   0.4481
 6.30  -0.0942   0.5452   0.4508
 6.40  -0.0884   0.5385   0.4499
 6.50  -0.0832   0.5338   0.4507
 6.60  -0.0770   0.5236   0.4465
 6.70  -0.0700   0.5123   0.4422
 6.80  -0.0629   0.5010   0.4384
 6.90  -0.0565   0.4901   0.4339
 7.00  -0.0516   0.4834   0.4318
 7.10  -0.0471   0.4689   0.4218
 7.20  -0.0455   0.4742   0.4285
 7.30  -0.0442   0.4823   0.4383
 7.40  -0.0426   0.4774   0.4348
 7.50  -0.0428   0.4931   0.4505
 7.60  -0.0426   0.4976   0.4551
 7.70  -0.0431   0.5059   0.4627
 7.80  -0.0413   0.5161   0.4746
 7.90  -0.0400   0.5323   0.4921
 8.00  -0.0395   0.5508   0.5111
 8.10  -0.0401   0.5747   0.5346
 8.20  -0.0370   0.5900   0.5530
 8.30  -0.0310   0.5927   0.5617
 8.40  -0.0227   0.5929   0.5704
 8.50  -0.0143   0.6022   0.5881
 8.60  -0.0047   0.6048   0.6000
 8.70   0.0041   0.6029   0.6071
 8.80   0.0106   0.6169   0.6275
 8.90   0.0198   0.6223   0.6421
 9.00   0.0283   0.6298   0.6581
 9.10   0.0366   0.6373   0.6741
 9.20   0.0453   0.6402   0.6856
 9.30   0.0535   0.6519   0.7054
 9.40   0.0620   0.6620   0.7241
 9.50   0.0721   0.6693   0.7416
 9.60   0.0826   0.6803   0.7630
 9.70   0.0947   0.6820   0.7768
 9.80   0.1064   0.6858   0.7922
 9.90   0.1207   0.6769   0.7977
10.00   0.1339   0.6813   0.8151
10.10   0.1507   0.6721   0.8225
10.20   0.1654   0.6752   0.8406
10.30   0.1812   0.6671   0.8483
10.40   0.1990   0.6644   0.8636
10.50   0.2156   0.6606   0.8762
10.60   0.2323   0.6523   0.8845
10.70   0.2479   0.6502   0.8980
10.80   0.2651   0.6406   0.9056
10.90   0.2830   0.6300   0.9132
11.00   0.3024   0.6182   0.9204
11.10   0.3231   0.5950   0.9179
11.20   0.3433   0.5764   0.9195
11.30   0.3664   0.5439   0.9103
11.40   0.3881   0.5378   0.9260
11.50   0.4126   0.5131   0.9257
11.60   0.4378   0.4997   0.9377
11.70   0.4643   0.4724   0.9366
11.80   0.4907   0.4425   0.9331
11.90   0.5166   0.4174   0.9338
12.00   0.5418   0.3913   0.9332
12.10   0.5682   0.3703   0.9385
12.20   0.5973   0.3257   0.9232
12.30   0.6223   0.2975   0.9198
12.40   0.6446   0.2562   0.9006
12.50   0.6588   0.2255   0.8842
12.60   0.6689   0.1831   0.8521
12.70   0.6756   0.1540   0.8295
12.80   0.6795   0.1055   0.7853
12.90   0.6799   0.0742   0.7542
13.00   0.6788   0.0309   0.7097
13.10   0.6739  -0.0008   0.6729
13.20   0.6649  -0.0334   0.6317
13.30   0.6525  -0.0501   0.6027
13.40   0.6405  -0.0874   0.5532
13.50   0.6256  -0.1143   0.5114
13.60   0.6084  -0.1313   0.4771
13.70   0.5885  -0.1483   0.4402
13.80   0.5667  -0.1596   0.4070
13.90   0.5429  -0.1718   0.3710
14.00   0.5164  -0.1645   0.3519
14.10   0.4928  -0.1698   0.3232
14.20   0.4657  -0.1578   0.3081
14.30   0.4433  -0.1652   0.2779
14.40   0.4196  -0.1606   0.2590
14.50   0.3906  -0.1326   0.2581
14.60   0.3677  -0.1262   0.2416
14.70   0.3413  -0.1021   0.2394
14.80   0.3193  -0.0950   0.2244
14.90   0.2965  -0.0796   0.2167
15.00   0.2720  -0.0608   0.2113
15.10   0.2520  -0.0471   0.2051
15.20   0.2299  -0.0245   0.2057
15.30   0.2117  -0.0159   0.1951
15.40   0.1945  -0.0116   0.1829
15.50   0.1748   0.0105   0.1859
15.60   0.1606   0.0173   0.1775
15.70   0.1461   0.0263   0.1726
15.80   0.1297   0.0452   0.1753
15.90   0.1170   0.0610   0.1779
16.00   0.1063   0.0693   0.1756
16.10   0.0943   0.0794   0.1737
16.20   0.0868   0.0718   0.1584
16.30   0.0764   0.0669   0.1431
16.40   0.0655   0.0586   0.1241
16.50   0.0579   0.0511   0.1090
16.60   0.0506   0.0421   0.0927
16.70   0.0440   0.0278   0.0715
16.80   0.0392   0.0126   0.0513
16.90   0.0326  -0.0046   0.0276
17.00   0.0266  -0.0272  -0.0008
17.10   0.0217  -0.0376  -0.0161
17.20   0.0171  -0.0431  -0.0260
17.30   0.0134  -0.0502  -0.0366
17.40   0.0120  -0.0547  -0.0427
17.50   0.0115  -0.0579  -0.0466
17.60   0.0106  -0.0611  -0.0507
17.70   0.0092  -0.0637  -0.0544
17.80   0.0092  -0.0690  -0.0597
17.90   0.0090  -0.0733  -0.0643
18.00   0.0081  -0.0742  -0.0659
18.10   0.0081  -0.0762  -0.0680
18.20   0.0084  -0.0779  -0.0695
18.30   0.0089  -0.0804  -0.0716
18.40   0.0095  -0.0830  -0.0737
18.50   0.0100  -0.0859  -0.0758
18.60   0.0108  -0.0886  -0.0778
18.70   0.0112  -0.0904  -0.0791
18.80   0.0116  -0.0918  -0.0801
18.90   0.0121  -0.0933  -0.0811
19.00   0.0125  -0.0949  -0.0821
19.10   0.0133  -0.0963  -0.0832
19.20   0.0138  -0.0980  -0.0844
19.30   0.0143  -0.0998  -0.0853
19.40   0.0152  -0.1015  -0.0865
19.50   0.0157  -0.1035  -0.0877
19.60   0.0166  -0.1055  -0.0891
19.70   0.0173  -0.1078  -0.0904
19.80   0.0182  -0.1100  -0.0917
19.90   0.0191  -0.1122  -0.0931
20.00   0.0200  -0.1147  -0.0946
20.10   0.0211  -0.1172  -0.0961
20.20   0.0222  -0.1199  -0.0976
20.30   0.0233  -0.1224  -0.0991
20.40   0.0244  -0.1250  -0.1005
20.50   0.0255  -0.1275  -0.1019
20.60   0.0266  -0.1295  -0.1028
20.70   0.0274  -0.1301  -0.1026
20.80   0.0281  -0.1303  -0.1021
20.90   0.0287  -0.1302  -0.1015
21.00   0.0293  -0.1304  -0.1010
21.10   0.0301  -0.1305  -0.1004
21.20   0.0307  -0.1308  -0.1000
21.30   0.0317  -0.1312  -0.0996
21.40   0.0323  -0.1318  -0.0993
21.50   0.0331  -0.1323  -0.0991
21.60   0.0342  -0.1330  -0.0988
21.70   0.0354  -0.1340  -0.0988
21.80   0.0365  -0.1350  -0.0987
21.90   0.0376  -0.1361  -0.0988
22.00   0.0387  -0.1373  -0.0987
22.10   0.0398  -0.1386  -0.0986
22.20   0.0413  -0.1398  -0.0985
22.30   0.0427  -0.1412  -0.0983
22.40   0.0442  -0.1426  -0.0983
22.50   0.0456  -0.1443  -0.0984
22.60   0.0474  -0.1458  -0.0984
22.70   0.0492  -0.1474  -0.0983
22.80   0.0509  -0.1492  -0.0983
22.90   0.0527  -0.1511  -0.0983
23.00   0.0547  -0.1530  -0.0982
23.10   0.0566  -0.1550  -0.0983
23.20   0.0586  -0.1571  -0.0981
23.30   0.0607  -0.1589  -0.0980
23.40   0.0630  -0.1609  -0.0980
23.50   0.0652  -0.1629  -0.0979
23.60   0.0674  -0.1650  -0.0976
