     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0972  -0.1500  -0.2473
 0.10  -0.0998  -0.0825  -0.1824
 0.20  -0.1024  -0.0150  -0.1175
 0.30  -0.1050   0.0495  -0.0554
 0.40  -0.1072   0.1063  -0.0009
 0.50  -0.1085   0.1515   0.0430
 0.60  -0.1087   0.1882   0.0795
 0.70  -0.1079   0.2197   0.1118
 0.80  -0.1059   0.2450   0.1390
 0.90  -0.1023   0.2681   0.1658
 1.00  -0.0967   0.2910   0.1943
 1.10  -0.0875   0.2906   0.2030
 1.20  -0.0747   0.2533   0.1785
 1.30  -0.0610   0.1755   0.1144
 1.40  -0.0526   0.1019   0.0493
 1.50  -0.0492   0.0535   0.0043
 1.60  -0.0498   0.0359  -0.0139
 1.70  -0.0518   0.0315  -0.0203
 1.80  -0.0542   0.0302  -0.0240
 1.90  -0.0579   0.0446  -0.0132
 2.00  -0.0607   0.0540  -0.0067
 2.10  -0.0635   0.0660   0.0026
 2.20  -0.0661   0.0785   0.0124
 2.30  -0.0682   0.0838   0.0156
 2.40  -0.0705   0.0943   0.0238
 2.50  -0.0731   0.1116   0.0386
 2.60  -0.0752   0.1268   0.0516
 2.70  -0.0771   0.1405   0.0634
 2.80  -0.0792   0.1600   0.0809
 2.90  -0.0807   0.1756   0.0949
 3.00  -0.0816   0.1902   0.1086
 3.10  -0.0820   0.1994   0.1173
 3.20  -0.0824   0.2089   0.1266
 3.30  -0.0824   0.2164   0.1340
 3.40  -0.0821   0.2232   0.1412
 3.50  -0.0814   0.2294   0.1479
 3.60  -0.0807   0.2328   0.1521
 3.70  -0.0799   0.2363   0.1564
 3.80  -0.0790   0.2365   0.1576
 3.90  -0.0777   0.2318   0.1541
 4.00  -0.0765   0.2250   0.1486
 4.10  -0.0758   0.2195   0.1437
 4.20  -0.0759   0.2170   0.1411
 4.30  -0.0766   0.2196   0.1431
 4.40  -0.0772   0.2213   0.1440
 4.50  -0.0779   0.2235   0.1455
 4.60  -0.0784   0.2248   0.1465
 4.70  -0.0784   0.2311   0.1528
 4.80  -0.0781   0.2519   0.1738
 4.90  -0.0772   0.2736   0.1964
 5.00  -0.0757   0.3106   0.2349
 5.10  -0.0736   0.3591   0.2854
 5.20  -0.0695   0.3807   0.3112
 5.30  -0.0651   0.3687   0.3036
