     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1240  -0.1592  -0.2830
 0.10  -0.1279  -0.0780  -0.2057
 0.20  -0.1318   0.0033  -0.1284
 0.30  -0.1355   0.0790  -0.0564
 0.40  -0.1386   0.1427   0.0042
 0.50  -0.1404   0.1929   0.0524
 0.60  -0.1405   0.2314   0.0908
 0.70  -0.1398   0.2642   0.1244
 0.80  -0.1387   0.2947   0.1560
 0.90  -0.1369   0.3248   0.1878
 1.00  -0.1341   0.3525   0.2183
 1.10  -0.1304   0.3714   0.2409
 1.20  -0.1264   0.3855   0.2591
 1.30  -0.1233   0.3816   0.2584
 1.40  -0.1222   0.3720   0.2497
 1.50  -0.1216   0.3586   0.2368
 1.60  -0.1205   0.3394   0.2188
 1.70  -0.1193   0.3180   0.1986
 1.80  -0.1189   0.3012   0.1822
 1.90  -0.1187   0.2844   0.1657
 2.00  -0.1182   0.2582   0.1400
 2.10  -0.1198   0.2560   0.1364
 2.20  -0.1217   0.2648   0.1429
 2.30  -0.1216   0.2492   0.1275
 2.40  -0.1220   0.2315   0.1096
 2.50  -0.1238   0.2317   0.1079
 2.60  -0.1263   0.2440   0.1177
 2.70  -0.1287   0.2548   0.1261
 2.80  -0.1314   0.2720   0.1406
 2.90  -0.1338   0.2897   0.1559
 3.00  -0.1353   0.3077   0.1727
 3.10  -0.1360   0.3130   0.1773
 3.20  -0.1363   0.3166   0.1804
 3.30  -0.1369   0.3292   0.1923
 3.40  -0.1371   0.3469   0.2097
 3.50  -0.1367   0.3592   0.2225
 3.60  -0.1358   0.3675   0.2318
 3.70  -0.1347   0.3763   0.2416
 3.80  -0.1333   0.3820   0.2487
 3.90  -0.1311   0.3776   0.2465
 4.00  -0.1290   0.3771   0.2480
 4.10  -0.1276   0.3790   0.2514
 4.20  -0.1270   0.3779   0.2509
 4.30  -0.1273   0.3668   0.2396
 4.40  -0.1294   0.3731   0.2434
 4.50  -0.1324   0.3860   0.2536
 4.60  -0.1344   0.3862   0.2518
 4.70  -0.1360   0.3916   0.2556
 4.80  -0.1375   0.4119   0.2743
 4.90  -0.1378   0.4430   0.3049
 5.00  -0.1367   0.5022   0.3652
 5.10  -0.1343   0.5832   0.4489
 5.20  -0.1303   0.6308   0.5006
 5.30  -0.1263   0.6297   0.5032
 5.40  -0.1214   0.6198   0.4985
 5.50  -0.1194   0.6041   0.4846
 5.60  -0.1170   0.6050   0.4882
 5.70  -0.1117   0.5828   0.4710
 5.80  -0.1059   0.5716   0.4656
 5.90  -0.1005   0.5633   0.4627
 6.00  -0.0930   0.5478   0.4548
 6.10  -0.0870   0.5366   0.4496
 6.20  -0.0796   0.5159   0.4366
 6.30  -0.0731   0.5071   0.4341
 6.40  -0.0678   0.4961   0.4283
 6.50  -0.0628   0.5004   0.4376
 6.60  -0.0567   0.4995   0.4429
 6.70  -0.0498   0.4872   0.4374
 6.80  -0.0439   0.4744   0.4305
 6.90  -0.0407   0.4686   0.4279
 7.00  -0.0388   0.4689   0.4300
 7.10  -0.0360   0.4592   0.4232
 7.20  -0.0332   0.4474   0.4143
 7.30  -0.0320   0.4450   0.4130
 7.40  -0.0310   0.4432   0.4121
 7.50  -0.0311   0.4499   0.4189
 7.60  -0.0325   0.4684   0.4360
 7.70  -0.0336   0.4888   0.4552
 7.80  -0.0325   0.5044   0.4718
 7.90  -0.0294   0.5088   0.4794
 8.00  -0.0264   0.5181   0.4918
 8.10  -0.0231   0.5337   0.5105
 8.20  -0.0189   0.5458   0.5270
 8.30  -0.0126   0.5524   0.5399
 8.40  -0.0045   0.5568   0.5523
 8.50   0.0040   0.5638   0.5678
 8.60   0.0137   0.5684   0.5821
 8.70   0.0233   0.5735   0.5969
 8.80   0.0328   0.5715   0.6043
 8.90   0.0408   0.5719   0.6128
 9.00   0.0476   0.5827   0.6302
 9.10   0.0551   0.5857   0.6408
 9.20   0.0634   0.5880   0.6513
 9.30   0.0726   0.5852   0.6577
 9.40   0.0825   0.5751   0.6576
 9.50   0.0885   0.6075   0.6959
 9.60   0.0986   0.6185   0.7171
 9.70   0.1099   0.6263   0.7364
 9.80   0.1230   0.6245   0.7476
 9.90   0.1366   0.6185   0.7550
10.00   0.1512   0.6066   0.7577
10.10   0.1658   0.6039   0.7695
10.20   0.1799   0.6054   0.7853
10.30   0.1962   0.5965   0.7928
10.40   0.2118   0.5902   0.8019
10.50   0.2279   0.5765   0.8042
10.60   0.2412   0.5663   0.8074
10.70   0.2560   0.5593   0.8153
10.80   0.2711   0.5542   0.8253
10.90   0.2871   0.5508   0.8379
11.00   0.3044   0.5428   0.8472
11.10   0.3238   0.5300   0.8541
11.20   0.3450   0.5052   0.8502
11.30   0.3632   0.4902   0.8535
11.40   0.3850   0.4749   0.8598
11.50   0.4074   0.4501   0.8575
11.60   0.4285   0.4310   0.8596
11.70   0.4517   0.3984   0.8501
11.80   0.4753   0.3722   0.8475
11.90   0.4990   0.3328   0.8321
12.00   0.5194   0.3136   0.8330
12.10   0.5426   0.2786   0.8210
12.20   0.5647   0.2511   0.8157
12.30   0.5820   0.2148   0.7968
12.40   0.5923   0.1852   0.7774
12.50   0.5998   0.1510   0.7508
12.60   0.6053   0.1226   0.7279
12.70   0.6086   0.0864   0.6951
12.80   0.6103   0.0572   0.6675
12.90   0.6081   0.0257   0.6336
13.00   0.6032   0.0031   0.6064
13.10   0.5984  -0.0313   0.5672
13.20   0.5904  -0.0494   0.5408
13.30   0.5818  -0.0824   0.4993
13.40   0.5696  -0.0995   0.4700
13.50   0.5565  -0.1275   0.4289
13.60   0.5380  -0.1305   0.4075
13.70   0.5215  -0.1514   0.3701
13.80   0.5014  -0.1619   0.3392
13.90   0.4802  -0.1700   0.3101
14.00   0.4597  -0.1742   0.2855
14.10   0.4370  -0.1674   0.2694
14.20   0.4160  -0.1695   0.2468
14.30   0.3925  -0.1512   0.2414
14.40   0.3718  -0.1420   0.2297
14.50   0.3486  -0.1227   0.2259
14.60   0.3274  -0.1106   0.2168
14.70   0.3077  -0.1039   0.2037
14.80   0.2858  -0.0905   0.1953
14.90   0.2674  -0.0879   0.1796
15.00   0.2460  -0.0672   0.1787
15.10   0.2251  -0.0464   0.1790
15.20   0.2097  -0.0389   0.1708
15.30   0.1927  -0.0328   0.1597
15.40   0.1759  -0.0257   0.1501
15.50   0.1592  -0.0153   0.1443
15.60   0.1421   0.0027   0.1449
15.70   0.1290   0.0111   0.1399
15.80   0.1157   0.0228   0.1387
15.90   0.1027   0.0352   0.1381
16.00   0.0929   0.0404   0.1331
16.10   0.0828   0.0430   0.1256
16.20   0.0744   0.0344   0.1089
16.30   0.0682   0.0235   0.0918
16.40   0.0574   0.0181   0.0755
16.50   0.0471   0.0146   0.0616
16.60   0.0400   0.0072   0.0474
16.70   0.0312  -0.0042   0.0272
16.80   0.0255  -0.0134   0.0119
16.90   0.0211  -0.0203   0.0008
17.00   0.0169  -0.0274  -0.0105
17.10   0.0140  -0.0367  -0.0228
17.20   0.0122  -0.0446  -0.0320
17.30   0.0099  -0.0487  -0.0386
17.40   0.0088  -0.0525  -0.0440
17.50   0.0078  -0.0556  -0.0478
17.60   0.0068  -0.0574  -0.0502
