    height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0935  -0.1395  -0.2330
 0.10  -0.0959  -0.0754  -0.1713
 0.20  -0.0984  -0.0113  -0.1097
 0.30  -0.1007   0.0496  -0.0511
 0.40  -0.1029   0.1038   0.0010
 0.50  -0.1042   0.1479   0.0437
 0.60  -0.1047   0.1842   0.0795
 0.70  -0.1044   0.2157   0.1113
 0.80  -0.1032   0.2435   0.1402
 0.90  -0.1007   0.2704   0.1697
 1.00  -0.0964   0.2921   0.1957
 1.10  -0.0896   0.2966   0.2069
 1.20  -0.0799   0.2732   0.1932
 1.30  -0.0691   0.2183   0.1492
 1.40  -0.0609   0.1558   0.0949
 1.50  -0.0562   0.1059   0.0498
 1.60  -0.0542   0.0701   0.0160
 1.70  -0.0543   0.0488  -0.0055
 1.80  -0.0559   0.0429  -0.0131
 1.90  -0.0587   0.0508  -0.0079
 2.00  -0.0611   0.0586  -0.0025
 2.10  -0.0633   0.0662   0.0030
 2.20  -0.0654   0.0753   0.0099
 2.30  -0.0674   0.0853   0.0180
 2.40  -0.0694   0.0967   0.0273
 2.50  -0.0715   0.1111   0.0396
 2.60  -0.0733   0.1249   0.0516
 2.70  -0.0750   0.1387   0.0637
 2.80  -0.0764   0.1509   0.0746
 2.90  -0.0774   0.1588   0.0814
 3.00  -0.0786   0.1719   0.0933
 3.10  -0.0792   0.1808   0.1016
 3.20  -0.0797   0.1905   0.1109
 3.30  -0.0799   0.2003   0.1204
 3.40  -0.0799   0.2087   0.1288
 3.50  -0.0796   0.2151   0.1356
 3.60  -0.0791   0.2191   0.1401
 3.70  -0.0785   0.2234   0.1449
 3.80  -0.0777   0.2246   0.1469
 3.90  -0.0765   0.2218   0.1453
 4.00  -0.0753   0.2142   0.1389
 4.10  -0.0745   0.2097   0.1353
 4.20  -0.0743   0.2112   0.1368
 4.30  -0.0746   0.2152   0.1406
 4.40  -0.0749   0.2189   0.1440
 4.50  -0.0752   0.2220   0.1468
 4.60  -0.0755   0.2232   0.1476
 4.70  -0.0756   0.2272   0.1517
 4.80  -0.0755   0.2415   0.1660
 4.90  -0.0750   0.2620   0.1871
 5.00  -0.0736   0.2962   0.2226
 5.10  -0.0715   0.3394   0.2680
 5.20  -0.0683   0.3640   0.2957
 5.30  -0.0646   0.3603   0.2958
 5.40  -0.0601   0.3566   0.2965
 5.50  -0.0555   0.3395   0.2839
