     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1297  -0.1533  -0.2828
 0.10  -0.1335  -0.0700  -0.2034
 0.20  -0.1373   0.0133  -0.1239
 0.30  -0.1409   0.0899  -0.0510
 0.40  -0.1439   0.1532   0.0094
 0.50  -0.1457   0.2036   0.0579
 0.60  -0.1462   0.2433   0.0970
 0.70  -0.1462   0.2789   0.1327
 0.80  -0.1456   0.3125   0.1669
 0.90  -0.1441   0.3464   0.2024
 1.00  -0.1414   0.3771   0.2358
 1.10  -0.1376   0.3984   0.2607
 1.20  -0.1332   0.4122   0.2790
 1.30  -0.1290   0.4128   0.2837
 1.40  -0.1269   0.3997   0.2727
 1.50  -0.1255   0.3805   0.2549
 1.60  -0.1240   0.3542   0.2301
 1.70  -0.1230   0.3300   0.2070
 1.80  -0.1227   0.3099   0.1873
 1.90  -0.1225   0.2893   0.1669
 2.00  -0.1222   0.2642   0.1420
 2.10  -0.1230   0.2498   0.1268
 2.20  -0.1244   0.2435   0.1190
 2.30  -0.1257   0.2394   0.1137
 2.40  -0.1273   0.2384   0.1111
 2.50  -0.1292   0.2418   0.1127
 2.60  -0.1312   0.2503   0.1190
 2.70  -0.1334   0.2636   0.1302
 2.80  -0.1353   0.2752   0.1399
 2.90  -0.1367   0.2794   0.1427
 3.00  -0.1392   0.3002   0.1610
 3.10  -0.1406   0.3148   0.1742
 3.20  -0.1416   0.3264   0.1849
 3.30  -0.1420   0.3380   0.1959
 3.40  -0.1423   0.3516   0.2093
 3.50  -0.1421   0.3624   0.2205
 3.60  -0.1414   0.3709   0.2295
 3.70  -0.1407   0.3794   0.2388
 3.80  -0.1395   0.3852   0.2456
 3.90  -0.1377   0.3822   0.2446
 4.00  -0.1359   0.3838   0.2479
 4.10  -0.1343   0.3816   0.2474
 4.20  -0.1335   0.3835   0.2499
 4.30  -0.1334   0.3849   0.2515
 4.40  -0.1344   0.3925   0.2580
 4.50  -0.1361   0.4001   0.2641
 4.60  -0.1376   0.4017   0.2642
 4.70  -0.1389   0.4039   0.2650
 4.80  -0.1401   0.4116   0.2714
 4.90  -0.1408   0.4315   0.2906
 5.00  -0.1403   0.4834   0.3430
 5.10  -0.1387   0.5652   0.4264
 5.20  -0.1360   0.6230   0.4870
 5.30  -0.1325   0.6353   0.5028
 5.40  -0.1279   0.6479   0.5200
 5.50  -0.1245   0.6328   0.5082
 5.60  -0.1203   0.6164   0.4961
 5.70  -0.1162   0.5976   0.4814
 5.80  -0.1111   0.5759   0.4647
 5.90  -0.1070   0.5643   0.4573
 6.00  -0.1022   0.5569   0.4546
 6.10  -0.0976   0.5437   0.4461
