     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1238  -0.1685  -0.2922
 0.10  -0.1272  -0.0842  -0.2112
 0.20  -0.1305   0.0002  -0.1303
 0.30  -0.1336   0.0795  -0.0542
 0.40  -0.1364   0.1478   0.0114
 0.50  -0.1383   0.2033   0.0650
 0.60  -0.1393   0.2504   0.1111
 0.70  -0.1395   0.2952   0.1557
 0.80  -0.1386   0.3380   0.1994
 0.90  -0.1358   0.3783   0.2425
 1.00  -0.1303   0.4047   0.2744
 1.10  -0.1216   0.4102   0.2886
 1.20  -0.1083   0.3787   0.2705
 1.30  -0.0940   0.3214   0.2274
 1.40  -0.0803   0.2266   0.1463
 1.50  -0.0701   0.1195   0.0494
 1.60  -0.0658   0.0466  -0.0192
 1.70  -0.0663   0.0066  -0.0597
 1.80  -0.0698   0.0022  -0.0675
 1.90  -0.0753   0.0361  -0.0391
 2.00  -0.0788   0.0557  -0.0231
 2.10  -0.0814   0.0685  -0.0129
 2.20  -0.0837   0.0772  -0.0065
 2.30  -0.0863   0.0948   0.0084
 2.40  -0.0893   0.1131   0.0237
 2.50  -0.0921   0.1333   0.0412
 2.60  -0.0945   0.1523   0.0578
 2.70  -0.0964   0.1642   0.0678
 2.80  -0.0980   0.1789   0.0809
 2.90  -0.0990   0.1815   0.0826
 3.00  -0.1006   0.1945   0.0940
 3.10  -0.1014   0.2034   0.1019
 3.20  -0.1021   0.2133   0.1112
 3.30  -0.1028   0.2277   0.1250
 3.40  -0.1031   0.2400   0.1369
 3.50  -0.1028   0.2479   0.1451
 3.60  -0.1024   0.2565   0.1542
 3.70  -0.1016   0.2620   0.1604
 3.80  -0.1006   0.2661   0.1655
 3.90  -0.0992   0.2629   0.1637
 4.00  -0.0978   0.2591   0.1612
 4.10  -0.0967   0.2570   0.1603
 4.20  -0.0963   0.2627   0.1664
 4.30  -0.0961   0.2687   0.1727
 4.40  -0.0960   0.2713   0.1753
 4.50  -0.0960   0.2723   0.1763
 4.60  -0.0962   0.2733   0.1770
 4.70  -0.0963   0.2788   0.1824
 4.80  -0.0965   0.2958   0.1993
 4.90  -0.0962   0.3180   0.2219
 5.00  -0.0946   0.3556   0.2610
 5.10  -0.0923   0.4076   0.3153
 5.20  -0.0890   0.4447   0.3556
 5.30  -0.0840   0.4536   0.3696
 5.40  -0.0782   0.4658   0.3876
 5.50  -0.0717   0.4389   0.3672
 5.60  -0.0656   0.4057   0.3401
 5.70  -0.0607   0.3925   0.3319
 5.80  -0.0553   0.3798   0.3245
 5.90  -0.0505   0.3703   0.3198
 6.00  -0.0455   0.3599   0.3145
 6.10  -0.0398   0.3453   0.3054
 6.20  -0.0343   0.3302   0.2958
 6.30  -0.0299   0.3259   0.2960
 6.40  -0.0250   0.3150   0.2900
 6.50  -0.0202   0.3079   0.2877
 6.60  -0.0137   0.2911   0.2774
 6.70  -0.0081   0.2736   0.2655
 6.80  -0.0042   0.2641   0.2599
 6.90  -0.0001   0.2549   0.2548
 7.00   0.0026   0.2492   0.2518
 7.10   0.0050   0.2432   0.2482
 7.20   0.0070   0.2404   0.2475
 7.30   0.0063   0.2484   0.2548
 7.40   0.0060   0.2529   0.2589
 7.50   0.0053   0.2630   0.2684
 7.60   0.0050   0.2762   0.2813
 7.70   0.0043   0.2911   0.2955
 7.80   0.0045   0.3019   0.3064
 7.90   0.0047   0.3111   0.3159
 8.00   0.0069   0.3125   0.3193
 8.10   0.0075   0.3219   0.3293
 8.20   0.0101   0.3326   0.3427
 8.30   0.0154   0.3319   0.3474
 8.40   0.0209   0.3269   0.3478
 8.50   0.0258   0.3312   0.3570
 8.60   0.0308   0.3391   0.3699
 8.70   0.0372   0.3410   0.3782
