     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1767  -0.1750  -0.3513
 0.10  -0.1818  -0.0690  -0.2506
 0.20  -0.1869   0.0370  -0.1500
 0.30  -0.1917   0.1321  -0.0596
 0.40  -0.1957   0.2102   0.0146
 0.50  -0.1984   0.2731   0.0748
 0.60  -0.1998   0.3243   0.1241
 0.70  -0.2007   0.3714   0.1709
 0.80  -0.2004   0.4150   0.2146
 0.90  -0.1985   0.4595   0.2610
 1.00  -0.1948   0.4948   0.3002
 1.10  -0.1893   0.5154   0.3261
 1.20  -0.1827   0.5252   0.3426
 1.30  -0.1759   0.5256   0.3498
 1.40  -0.1713   0.5036   0.3323
 1.50  -0.1687   0.4713   0.3026
 1.60  -0.1669   0.4280   0.2611
 1.70  -0.1664   0.3930   0.2266
 1.80  -0.1665   0.3574   0.1910
 1.90  -0.1667   0.3184   0.1519
 2.00  -0.1683   0.3096   0.1411
 2.10  -0.1702   0.3044   0.1343
 2.20  -0.1718   0.2905   0.1188
 2.30  -0.1742   0.2986   0.1244
 2.40  -0.1764   0.3022   0.1257
 2.50  -0.1790   0.3118   0.1329
 2.60  -0.1816   0.3267   0.1452
 2.70  -0.1841   0.3423   0.1580
 2.80  -0.1863   0.3593   0.1730
 2.90  -0.1871   0.3569   0.1701
 3.00  -0.1890   0.3655   0.1767
 3.10  -0.1905   0.3790   0.1886
 3.20  -0.1919   0.3946   0.2026
 3.30  -0.1927   0.4115   0.2187
 3.40  -0.1933   0.4299   0.2367
 3.50  -0.1928   0.4409   0.2482
 3.60  -0.1916   0.4486   0.2571
 3.70  -0.1907   0.4587   0.2680
 3.80  -0.1889   0.4602   0.2712
 3.90  -0.1868   0.4553   0.2686
 4.00  -0.1854   0.4663   0.2808
 4.10  -0.1836   0.4634   0.2798
 4.20  -0.1834   0.4775   0.2940
 4.30  -0.1832   0.4847   0.3016
 4.40  -0.1844   0.4986   0.3142
 4.50  -0.1856   0.5010   0.3157
 4.60  -0.1872   0.5021   0.3150
 4.70  -0.1896   0.5079   0.3183
 4.80  -0.1922   0.5150   0.3229
 4.90  -0.1942   0.5308   0.3368
 5.00  -0.1954   0.5820   0.3867
 5.10  -0.1958   0.6720   0.4763
