     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0759  -0.1341  -0.2101
 0.10  -0.0775  -0.0795  -0.1571
 0.20  -0.0791  -0.0249  -0.1041
 0.30  -0.0807   0.0266  -0.0541
 0.40  -0.0823   0.0735  -0.0087
 0.50  -0.0831   0.1132   0.0301
 0.60  -0.0831   0.1462   0.0630
 0.70  -0.0821   0.1688   0.0867
 0.80  -0.0803   0.1860   0.1056
 0.90  -0.0778   0.2065   0.1287
 1.00  -0.0739   0.2252   0.1513
 1.10  -0.0681   0.2280   0.1599
 1.20  -0.0602   0.2111   0.1508
 1.30  -0.0500   0.1472   0.0973
 1.40  -0.0428   0.0883   0.0455
 1.50  -0.0399   0.0691   0.0292
 1.60  -0.0378   0.0473   0.0095
 1.70  -0.0369   0.0284  -0.0085
 1.80  -0.0371   0.0193  -0.0179
 1.90  -0.0375   0.0056  -0.0319
 2.00  -0.0387   0.0023  -0.0365
 2.10  -0.0402  -0.0009  -0.0410
 2.20  -0.0425   0.0123  -0.0302
 2.30  -0.0447   0.0301  -0.0146
 2.40  -0.0465   0.0450  -0.0016
 2.50  -0.0482   0.0599   0.0117
 2.60  -0.0497   0.0739   0.0242
 2.70  -0.0511   0.0900   0.0389
 2.80  -0.0519   0.0956   0.0437
 2.90  -0.0525   0.0957   0.0432
 3.00  -0.0547   0.1146   0.0599
 3.10  -0.0561   0.1315   0.0755
 3.20  -0.0568   0.1449   0.0882
 3.30  -0.0575   0.1608   0.1034
 3.40  -0.0577   0.1723   0.1146
 3.50  -0.0575   0.1785   0.1210
 3.60  -0.0571   0.1811   0.1241
 3.70  -0.0565   0.1829   0.1264
 3.80  -0.0556   0.1804   0.1247
 3.90  -0.0544   0.1774   0.1230
 4.00  -0.0529   0.1628   0.1099
 4.10  -0.0522   0.1563   0.1040
 4.20  -0.0520   0.1573   0.1052
 4.30  -0.0525   0.1628   0.1103
 4.40  -0.0529   0.1717   0.1188
 4.50  -0.0530   0.1758   0.1229
 4.60  -0.0527   0.1728   0.1202
 4.70  -0.0521   0.1704   0.1183
 4.80  -0.0514   0.1819   0.1304
 4.90  -0.0505   0.2001   0.1496
 5.00  -0.0492   0.2226   0.1734
 5.10  -0.0476   0.2523   0.2047
 5.20  -0.0453   0.2703   0.2250
 5.30  -0.0426   0.2632   0.2207
 5.40  -0.0388   0.2479   0.2090
 5.50  -0.0356   0.2376   0.2020
 5.60  -0.0332   0.2376   0.2044
 5.70  -0.0303   0.2284   0.1982
 5.80  -0.0266   0.2178   0.1913
 5.90  -0.0231   0.2103   0.1872
 6.00  -0.0192   0.1993   0.1800
 6.10  -0.0154   0.1845   0.1691
 6.20  -0.0113   0.1700   0.1588
 6.30  -0.0085   0.1637   0.1553
 6.40  -0.0056   0.1582   0.1527
 6.50  -0.0023   0.1534   0.1511
