     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1109  -0.1667  -0.2778
 0.10  -0.1140  -0.0845  -0.1985
 0.20  -0.1170  -0.0022  -0.1192
 0.30  -0.1198   0.0741  -0.0457
 0.40  -0.1221   0.1359   0.0138
 0.50  -0.1232   0.1855   0.0623
 0.60  -0.1231   0.2247   0.1015
 0.70  -0.1225   0.2604   0.1379
 0.80  -0.1217   0.2951   0.1734
 0.90  -0.1203   0.3329   0.2126
 1.00  -0.1181   0.3717   0.2536
 1.10  -0.1147   0.3988   0.2840
 1.20  -0.1107   0.4125   0.3017
 1.30  -0.1066   0.4110   0.3043
 1.40  -0.1036   0.3870   0.2834
 1.50  -0.1001   0.3565   0.2564
 1.60  -0.0956   0.3141   0.2184
 1.70  -0.0921   0.2764   0.1841
 1.80  -0.0900   0.2494   0.1594
 1.90  -0.0884   0.2311   0.1427
 2.00  -0.0860   0.1783   0.0922
 2.10  -0.0864   0.1599   0.0734
 2.20  -0.0886   0.1584   0.0698
 2.30  -0.0903   0.1600   0.0697
 2.40  -0.0926   0.1751   0.0825
 2.50  -0.0941   0.1800   0.0859
 2.60  -0.0952   0.1807   0.0855
 2.70  -0.0973   0.2040   0.1066
 2.80  -0.0976   0.2007   0.1031
 2.90  -0.0961   0.1523   0.0560
 3.00  -0.1055   0.2171   0.1116
 3.10  -0.1110   0.2899   0.1789
 3.20  -0.1127   0.3137   0.2011
 3.30  -0.1131   0.3263   0.2132
 3.40  -0.1131   0.3377   0.2245
 3.50  -0.1130   0.3497   0.2368
 3.60  -0.1124   0.3600   0.2477
 3.70  -0.1111   0.3645   0.2535
 3.80  -0.1094   0.3655   0.2560
 3.90  -0.1071   0.3559   0.2488
 4.00  -0.1052   0.3579   0.2529
 4.10  -0.1026   0.3427   0.2401
 4.20  -0.1016   0.3340   0.2322
 4.30  -0.1017   0.3437   0.2420
 4.40  -0.1021   0.3480   0.2458
 4.50  -0.1033   0.3571   0.2536
 4.60  -0.1042   0.3548   0.2506
 4.70  -0.1041   0.3490   0.2450
 4.80  -0.1037   0.3517   0.2480
 4.90  -0.1037   0.3758   0.2721
 5.00  -0.1024   0.4380   0.3357
 5.10  -0.0996   0.5227   0.4231
 5.20  -0.0958   0.5633   0.4676
 5.30  -0.0931   0.5291   0.4362
 5.40  -0.0884   0.4971   0.4086
 5.50  -0.0844   0.4903   0.4059
 5.60  -0.0814   0.4719   0.3905
 5.70  -0.0765   0.4513   0.3749
 5.80  -0.0726   0.4309   0.3583
 5.90  -0.0693   0.4367   0.3675
 6.00  -0.0636   0.4370   0.3734
 6.10  -0.0585   0.4094   0.3510
 6.20  -0.0465   0.3379   0.2914
 6.30  -0.0442   0.3301   0.2858
 6.40  -0.0423   0.3340   0.2917
 6.50  -0.0351   0.3125   0.2774
 6.60  -0.0293   0.3126   0.2833
 6.70  -0.0245   0.3227   0.2980
 6.80  -0.0193   0.3197   0.3003
 6.90  -0.0131   0.2989   0.2857
 7.00  -0.0089   0.2873   0.2785
 7.10  -0.0066   0.2799   0.2735
 7.20  -0.0049   0.2704   0.2654
 7.30  -0.0074   0.2810   0.2736
 7.40  -0.0106   0.3001   0.2896
 7.50  -0.0145   0.3287   0.3140
 7.60  -0.0193   0.3562   0.3369
 7.70  -0.0212   0.3750   0.3539
 7.80  -0.0225   0.3929   0.3704
 7.90  -0.0222   0.4042   0.3820
 8.00  -0.0197   0.4056   0.3857
 8.10  -0.0188   0.4196   0.4009
 8.20  -0.0178   0.4497   0.4321
 8.30  -0.0121   0.4503   0.4383
 8.40  -0.0060   0.4515   0.4455
 8.50   0.0004   0.4570   0.4575
 8.60   0.0071   0.4572   0.4644
 8.70   0.0120   0.4674   0.4795
 8.80   0.0182   0.4721   0.4903
 8.90   0.0250   0.4720   0.4971
 9.00   0.0304   0.4729   0.5034
 9.10   0.0363   0.4677   0.5040
 9.20   0.0419   0.4753   0.5172
 9.30   0.0465   0.4878   0.5343
 9.40   0.0515   0.4986   0.5501
 9.50   0.0573   0.5084   0.5658
 9.60   0.0651   0.5114   0.5764
 9.70   0.0749   0.5136   0.5884
 9.80   0.0849   0.5031   0.5883
 9.90   0.0949   0.4943   0.5889
10.00   0.1037   0.4922   0.5957
10.10   0.1133   0.4928   0.6063
10.20   0.1236   0.4981   0.6215
10.30   0.1356   0.4824   0.6180
10.40   0.1449   0.4820   0.6270
10.50   0.1550   0.4747   0.6298
10.60   0.1654   0.4666   0.6320
10.70   0.1748   0.4675   0.6422
10.80   0.1859   0.4638   0.6497
10.90   0.1978   0.4557   0.6535
11.00   0.2100   0.4503   0.6605
11.10   0.2227   0.4385   0.6611
11.20   0.2373   0.4203   0.6578
11.30   0.2520   0.4096   0.6615
11.40   0.2649   0.4080   0.6728
11.50   0.2804   0.3945   0.6750
