     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.0971  -0.1428  -0.2401
 0.10  -0.0998  -0.0755  -0.1754
 0.20  -0.1025  -0.0082  -0.1106
 0.30  -0.1051   0.0563  -0.0488
 0.40  -0.1077   0.1150   0.0074
 0.50  -0.1092   0.1619   0.0527
 0.60  -0.1099   0.1991   0.0892
 0.70  -0.1100   0.2346   0.1245
 0.80  -0.1093   0.2684   0.1591
 0.90  -0.1074   0.3005   0.1932
 1.00  -0.1037   0.3250   0.2212
 1.10  -0.0980   0.3342   0.2362
 1.20  -0.0901   0.3219   0.2318
 1.30  -0.0808   0.2821   0.2012
 1.40  -0.0731   0.2263   0.1532
 1.50  -0.0674   0.1695   0.1020
 1.60  -0.0637   0.1161   0.0524
 1.70  -0.0627   0.0829   0.0202
 1.80  -0.0641   0.0735   0.0094
 1.90  -0.0669   0.0803   0.0134
 2.00  -0.0696   0.0877   0.0182
 2.10  -0.0721   0.0981   0.0260
 2.20  -0.0744   0.1090   0.0346
 2.30  -0.0763   0.1160   0.0397
 2.40  -0.0780   0.1239   0.0459
 2.50  -0.0798   0.1353   0.0555
 2.60  -0.0817   0.1489   0.0673
 2.70  -0.0837   0.1684   0.0847
 2.80  -0.0848   0.1791   0.0943
 2.90  -0.0857   0.1874   0.1017
 3.00  -0.0866   0.1993   0.1127
 3.10  -0.0871   0.2075   0.1203
 3.20  -0.0875   0.2176   0.1301
 3.30  -0.0875   0.2230   0.1356
 3.40  -0.0874   0.2289   0.1415
 3.50  -0.0872   0.2361   0.1488
 3.60  -0.0869   0.2400   0.1531
 3.70  -0.0867   0.2471   0.1604
 3.80  -0.0860   0.2487   0.1628
 3.90  -0.0851   0.2476   0.1625
 4.00  -0.0839   0.2383   0.1544
 4.10  -0.0833   0.2333   0.1501
 4.20  -0.0832   0.2361   0.1529
 4.30  -0.0834   0.2389   0.1555
 4.40  -0.0837   0.2421   0.1583
 4.50  -0.0844   0.2475   0.1631
 4.60  -0.0852   0.2516   0.1664
 4.70  -0.0857   0.2590   0.1733
 4.80  -0.0860   0.2689   0.1829
 4.90  -0.0859   0.2914   0.2055
 5.00  -0.0843   0.3365   0.2522
 5.10  -0.0814   0.3863   0.3050
 5.20  -0.0777   0.4143   0.3366
 5.30  -0.0740   0.4095   0.3354
 5.40  -0.0699   0.4044   0.3345
 5.50  -0.0650   0.3870   0.3220
 5.60  -0.0592   0.3690   0.3098
 5.70  -0.0547   0.3560   0.3012
 5.80  -0.0489   0.3395   0.2905
 5.90  -0.0434   0.3282   0.2848
 6.00  -0.0391   0.3169   0.2777
 6.10  -0.0346   0.3089   0.2743
 6.20  -0.0304   0.3011   0.2707
 6.30  -0.0262   0.2915   0.2652
 6.40  -0.0221   0.2838   0.2617
 6.50  -0.0179   0.2785   0.2606
 6.60  -0.0136   0.2682   0.2546
 6.70  -0.0092   0.2576   0.2484
 6.80  -0.0056   0.2508   0.2453
 6.90  -0.0027   0.2435   0.2408
