     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1377  -0.1594  -0.2972
 0.10  -0.1419  -0.0708  -0.2126
 0.20  -0.1460   0.0179  -0.1281
 0.30  -0.1499   0.0996  -0.0503
 0.40  -0.1532   0.1678   0.0145
 0.50  -0.1552   0.2213   0.0660
 0.60  -0.1560   0.2628   0.1068
 0.70  -0.1563   0.3014   0.1452
 0.80  -0.1559   0.3383   0.1825
 0.90  -0.1543   0.3748   0.2207
 1.00  -0.1512   0.4067   0.2556
 1.10  -0.1471   0.4288   0.2817
 1.20  -0.1421   0.4472   0.3050
 1.30  -0.1374   0.4484   0.3109
 1.40  -0.1351   0.4343   0.2990
 1.50  -0.1342   0.4146   0.2803
 1.60  -0.1337   0.3921   0.2584
 1.70  -0.1332   0.3691   0.2359
 1.80  -0.1328   0.3466   0.2138
 1.90  -0.1330   0.3290   0.1962
 2.00  -0.1330   0.3085   0.1756
 2.10  -0.1327   0.2787   0.1459
 2.20  -0.1336   0.2657   0.1320
 2.30  -0.1353   0.2660   0.1309
 2.40  -0.1368   0.2623   0.1255
 2.50  -0.1383   0.2581   0.1197
 2.60  -0.1407   0.2704   0.1297
 2.70  -0.1428   0.2896   0.1468
 2.80  -0.1440   0.2955   0.1515
 2.90  -0.1456   0.3058   0.1603
 3.00  -0.1476   0.3228   0.1750
 3.10  -0.1486   0.3297   0.1812
 3.20  -0.1496   0.3435   0.1940
 3.30  -0.1499   0.3512   0.2012
 3.40  -0.1501   0.3599   0.2099
 3.50  -0.1504   0.3706   0.2203
 3.60  -0.1508   0.3829   0.2322
 3.70  -0.1510   0.3963   0.2455
 3.80  -0.1508   0.4105   0.2597
 3.90  -0.1497   0.4155   0.2660
 4.00  -0.1476   0.4081   0.2605
 4.10  -0.1465   0.4106   0.2642
 4.20  -0.1453   0.4167   0.2713
 4.30  -0.1449   0.4189   0.2739
 4.40  -0.1452   0.4246   0.2794
 4.50  -0.1464   0.4295   0.2831
 4.60  -0.1479   0.4331   0.2852
 4.70  -0.1494   0.4363   0.2868
 4.80  -0.1503   0.4357   0.2853
 4.90  -0.1503   0.4420   0.2915
 5.00  -0.1490   0.4836   0.3344
 5.10  -0.1466   0.5722   0.4254
 5.20  -0.1442   0.6449   0.5007
 5.30  -0.1400   0.6698   0.5297
 5.40  -0.1350   0.6899   0.5551
 5.50  -0.1309   0.6714   0.5404
 5.60  -0.1257   0.6589   0.5330
 5.70  -0.1232   0.6370   0.5137
 5.80  -0.1152   0.6042   0.4887
 5.90  -0.1106   0.5904   0.4796
 6.00  -0.1091   0.5948   0.4857
 6.10  -0.1056   0.5902   0.4848
 6.20  -0.1019   0.5830   0.4810
 6.30  -0.0983   0.5816   0.4831
 6.40  -0.0916   0.5722   0.4805
 6.50  -0.0858   0.5662   0.4803
 6.60  -0.0791   0.5542   0.4750
 6.70  -0.0720   0.5434   0.4714
 6.80  -0.0645   0.5326   0.4683
 6.90  -0.0573   0.5198   0.4627
 7.00  -0.0516   0.5102   0.4586
 7.10  -0.0467   0.4947   0.4479
 7.20  -0.0450   0.5005   0.4554
 7.30  -0.0430   0.5055   0.4627
 7.40  -0.0410   0.4967   0.4558
 7.50  -0.0422   0.5145   0.4725
 7.60  -0.0427   0.5211   0.4786
 7.70  -0.0437   0.5343   0.4905
 7.80  -0.0419   0.5463   0.5043
 7.90  -0.0408   0.5652   0.5243
 8.00  -0.0401   0.5840   0.5437
 8.10  -0.0406   0.6097   0.5690
 8.20  -0.0375   0.6270   0.5894
 8.30  -0.0314   0.6302   0.5989
 8.40  -0.0226   0.6312   0.6087
 8.50  -0.0135   0.6405   0.6272
 8.60  -0.0032   0.6430   0.6398
 8.70   0.0064   0.6400   0.6465
 8.80   0.0136   0.6540   0.6676
 8.90   0.0235   0.6585   0.6820
 9.00   0.0325   0.6669   0.6996
 9.10   0.0414   0.6769   0.7185
 9.20   0.0505   0.6806   0.7312
 9.30   0.0591   0.6943   0.7534
 9.40   0.0683   0.7056   0.7739
 9.50   0.0791   0.7128   0.7921
 9.60   0.0904   0.7238   0.8143
 9.70   0.1035   0.7254   0.8290
 9.80   0.1163   0.7293   0.8455
 9.90   0.1315   0.7202   0.8518
10.00   0.1451   0.7263   0.8712
10.10   0.1630   0.7159   0.8787
10.20   0.1785   0.7199   0.8984
10.30   0.1952   0.7115   0.9066
10.40   0.2142   0.7093   0.9237
10.50   0.2321   0.7050   0.9371
10.60   0.2499   0.6966   0.9464
10.70   0.2666   0.6964   0.9629
10.80   0.2851   0.6864   0.9714
10.90   0.3045   0.6746   0.9792
11.00   0.3252   0.6620   0.9870
11.10   0.3473   0.6376   0.9848
11.20   0.3692   0.6174   0.9864
11.30   0.3942   0.5824   0.9765
11.40   0.4174   0.5763   0.9938
11.50   0.4436   0.5505   0.9940
