     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1032  -0.1608  -0.2641
 0.10  -0.1060  -0.0883  -0.1943
 0.20  -0.1087  -0.0158  -0.1245
 0.30  -0.1114   0.0536  -0.0578
 0.40  -0.1139   0.1144   0.0006
 0.50  -0.1152   0.1629   0.0477
 0.60  -0.1154   0.2022   0.0869
 0.70  -0.1144   0.2360   0.1215
 0.80  -0.1123   0.2627   0.1504
 0.90  -0.1084   0.2874   0.1790
 1.00  -0.1022   0.3115   0.2092
 1.10  -0.0924   0.3102   0.2178
 1.20  -0.0786   0.2700   0.1914
 1.30  -0.0639   0.1859   0.1219
 1.40  -0.0548   0.1069   0.0521
 1.50  -0.0512   0.0561   0.0049
 1.60  -0.0516   0.0361  -0.0154
 1.70  -0.0535   0.0287  -0.0248
 1.80  -0.0558   0.0249  -0.0308
 1.90  -0.0596   0.0400  -0.0196
 2.00  -0.0626   0.0506  -0.0120
 2.10  -0.0657   0.0633  -0.0022
 2.20  -0.0683   0.0748   0.0065
 2.30  -0.0705   0.0796   0.0091
 2.40  -0.0731   0.0912   0.0181
 2.50  -0.0759   0.1118   0.0359
 2.60  -0.0783   0.1300   0.0516
 2.70  -0.0804   0.1447   0.0644
 2.80  -0.0826   0.1652   0.0827
 2.90  -0.0842   0.1822   0.0980
 3.00  -0.0853   0.1984   0.1132
 3.10  -0.0857   0.2077   0.1220
 3.20  -0.0861   0.2187   0.1326
 3.30  -0.0861   0.2271   0.1410
 3.40  -0.0858   0.2341   0.1483
 3.50  -0.0852   0.2406   0.1554
 3.60  -0.0844   0.2441   0.1597
 3.70  -0.0836   0.2479   0.1643
 3.80  -0.0826   0.2482   0.1657
 3.90  -0.0813   0.2428   0.1615
 4.00  -0.0800   0.2350   0.1550
 4.10  -0.0794   0.2297   0.1503
 4.20  -0.0795   0.2269   0.1474
 4.30  -0.0801   0.2291   0.1491
 4.40  -0.0808   0.2307   0.1499
 4.50  -0.0815   0.2327   0.1512
 4.60  -0.0820   0.2336   0.1517
 4.70  -0.0820   0.2394   0.1575
 4.80  -0.0816   0.2606   0.1790
 4.90  -0.0807   0.2837   0.2029
 5.00  -0.0793   0.3226   0.2434
 5.10  -0.0771   0.3740   0.2969
 5.20  -0.0728   0.3970   0.3242
 5.30  -0.0682   0.3859   0.3176
 5.40  -0.0629   0.3772   0.3143
 5.50  -0.0579   0.3575   0.2996
 5.60  -0.0533   0.3432   0.2900
 5.70  -0.0487   0.3321   0.2835
 5.80  -0.0450   0.3238   0.2788
 5.90  -0.0407   0.3195   0.2788
 6.00  -0.0370   0.3154   0.2784
 6.10  -0.0330   0.3091   0.2762
 6.20  -0.0281   0.3007   0.2727
 6.30  -0.0238   0.2931   0.2693
 6.40  -0.0202   0.2849   0.2647
 6.50  -0.0161   0.2788   0.2627
 6.60  -0.0122   0.2690   0.2568
 6.70  -0.0083   0.2597   0.2514
 6.80  -0.0061   0.2548   0.2488
 6.90  -0.0036   0.2498   0.2462
 7.00  -0.0016   0.2426   0.2410
 7.10   0.0006   0.2318   0.2324
 7.20   0.0022   0.2250   0.2273
 7.30   0.0027   0.2286   0.2313
 7.40   0.0031   0.2343   0.2374
 7.50   0.0025   0.2461   0.2486
 7.60   0.0022   0.2577   0.2599
 7.70   0.0019   0.2669   0.2688
 7.80   0.0017   0.2783   0.2800
 7.90   0.0024   0.2862   0.2886
 8.00   0.0041   0.2947   0.2988
 8.10   0.0057   0.3084   0.3140
 8.20   0.0085   0.3171   0.3256
 8.30   0.0128   0.3198   0.3327
 8.40   0.0182   0.3176   0.3358
 8.50   0.0229   0.3214   0.3443
 8.60   0.0269   0.3287   0.3556
 8.70   0.0315   0.3342   0.3657
 8.80   0.0365   0.3382   0.3747
 8.90   0.0409   0.3442   0.3850
 9.00   0.0453   0.3513   0.3965
 9.10   0.0502   0.3564   0.4066
 9.20   0.0549   0.3619   0.4168
 9.30   0.0609   0.3645   0.4253
 9.40   0.0671   0.3683   0.4353
 9.50   0.0731   0.3789   0.4520
 9.60   0.0803   0.3857   0.4660
 9.70   0.0873   0.3934   0.4808
 9.80   0.0962   0.3910   0.4871
 9.90   0.1053   0.3919   0.4972
10.00   0.1150   0.3905   0.5055
10.10   0.1253   0.3873   0.5125
10.20   0.1357   0.3862   0.5218
10.30   0.1470   0.3799   0.5269
10.40   0.1579   0.3737   0.5316
10.50   0.1687   0.3646   0.5333
10.60   0.1796   0.3555   0.5350
10.70   0.1910   0.3466   0.5376
10.80   0.2030   0.3364   0.5394
10.90   0.2144   0.3308   0.5452
11.00   0.2270   0.3192   0.5462
11.10   0.2405   0.3074   0.5480
11.20   0.2550   0.2911   0.5460
11.30   0.2692   0.2753   0.5445
11.40   0.2843   0.2582   0.5425
11.50   0.2996   0.2383   0.5379
11.60   0.3148   0.2199   0.5346
11.70   0.3298   0.1980   0.5277
11.80   0.3450   0.1766   0.5216
11.90   0.3599   0.1478   0.5077
12.00   0.3743   0.1260   0.5003
12.10   0.3883   0.0976   0.4859
12.20   0.4000   0.0740   0.4740
12.30   0.4083   0.0450   0.4533
12.40   0.4120   0.0225   0.4345
12.50   0.4136  -0.0029   0.4108
12.60   0.4135  -0.0217   0.3917
12.70   0.4119  -0.0459   0.3660
12.80   0.4079  -0.0638   0.3440
12.90   0.4025  -0.0837   0.3189
13.00   0.3954  -0.0984   0.2970
13.10   0.3872  -0.1170   0.2703
13.20   0.3763  -0.1245   0.2518
13.30   0.3644  -0.1364   0.2280
13.40   0.3507  -0.1410   0.2096
13.50   0.3365  -0.1469   0.1895
13.60   0.3205  -0.1446   0.1759
13.70   0.3044  -0.1435   0.1610
13.80   0.2878  -0.1379   0.1499
13.90   0.2705  -0.1293   0.1412
14.00   0.2541  -0.1229   0.1312
14.10   0.2365  -0.1091   0.1274
14.20   0.2211  -0.0995   0.1215
14.30   0.2053  -0.0825   0.1228
14.40   0.1905  -0.0680   0.1225
14.50   0.1758  -0.0530   0.1229
14.60   0.1613  -0.0445   0.1168
14.70   0.1481  -0.0396   0.1085
14.80   0.1349  -0.0333   0.1015
14.90   0.1234  -0.0316   0.0918
15.00   0.1120  -0.0283   0.0837
15.10   0.1008  -0.0238   0.0770
15.20   0.0921  -0.0248   0.0674
15.30   0.0828  -0.0236   0.0592
15.40   0.0742  -0.0224   0.0517
15.50   0.0665  -0.0209   0.0456
15.60   0.0587  -0.0190   0.0398
15.70   0.0525  -0.0182   0.0343
15.80   0.0470  -0.0167   0.0302
15.90   0.0412  -0.0150   0.0262
16.00   0.0364  -0.0131   0.0233
16.10   0.0321  -0.0129   0.0193
16.20   0.0282  -0.0140   0.0141
16.30   0.0252  -0.0168   0.0084
16.40   0.0218  -0.0192   0.0026
16.50   0.0181  -0.0207  -0.0025
16.60   0.0157  -0.0226  -0.0069
16.70   0.0130  -0.0251  -0.0119
16.80   0.0112  -0.0266  -0.0153
16.90   0.0101  -0.0281  -0.0180
17.00   0.0088  -0.0296  -0.0207
