     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1327  -0.1722  -0.3045
 0.10  -0.1368  -0.0847  -0.2213
 0.20  -0.1410   0.0027  -0.1381
 0.30  -0.1449   0.0843  -0.0605
 0.40  -0.1481   0.1528   0.0048
 0.50  -0.1501   0.2072   0.0570
 0.60  -0.1501   0.2483   0.0981
 0.70  -0.1494   0.2837   0.1343
 0.80  -0.1483   0.3171   0.1688
 0.90  -0.1463   0.3507   0.2043
 1.00  -0.1432   0.3812   0.2380
 1.10  -0.1391   0.4002   0.2610
 1.20  -0.1347   0.4139   0.2792
 1.30  -0.1311   0.4086   0.2775
 1.40  -0.1297   0.3967   0.2668
 1.50  -0.1289   0.3809   0.2518
 1.60  -0.1275   0.3592   0.2316
 1.70  -0.1261   0.3359   0.2097
 1.80  -0.1256   0.3182   0.1924
 1.90  -0.1252   0.2978   0.1725
 2.00  -0.1243   0.2646   0.1402
 2.10  -0.1266   0.2662   0.1398
 2.20  -0.1289   0.2777   0.1486
 2.30  -0.1289   0.2614   0.1324
 2.40  -0.1291   0.2399   0.1108
 2.50  -0.1311   0.2412   0.1100
 2.60  -0.1340   0.2580   0.1240
 2.70  -0.1366   0.2702   0.1337
 2.80  -0.1395   0.2887   0.1493
 2.90  -0.1420   0.3073   0.1653
 3.00  -0.1436   0.3276   0.1843
 3.10  -0.1443   0.3338   0.1897
 3.20  -0.1447   0.3373   0.1927
 3.30  -0.1453   0.3504   0.2051
 3.40  -0.1455   0.3688   0.2232
 3.50  -0.1450   0.3821   0.2370
 3.60  -0.1440   0.3908   0.2468
 3.70  -0.1428   0.3996   0.2567
 3.80  -0.1415   0.4067   0.2651
 3.90  -0.1390   0.4011   0.2621
 4.00  -0.1368   0.3994   0.2625
 4.10  -0.1354   0.4016   0.2663
 4.20  -0.1347   0.4007   0.2660
 4.30  -0.1349   0.3866   0.2518
 4.40  -0.1372   0.3934   0.2560
 4.50  -0.1405   0.4091   0.2686
 4.60  -0.1427   0.4105   0.2678
 4.70  -0.1444   0.4158   0.2714
 4.80  -0.1459   0.4362   0.2902
 4.90  -0.1462   0.4687   0.3222
 5.00  -0.1451   0.5321   0.3867
 5.10  -0.1425   0.6173   0.4748
 5.20  -0.1383   0.6682   0.5300
 5.30  -0.1342   0.6688   0.5345
 5.40  -0.1290   0.6574   0.5285
 5.50  -0.1270   0.6420   0.5150
 5.60  -0.1243   0.6437   0.5196
 5.70  -0.1186   0.6200   0.5013
 5.80  -0.1123   0.6071   0.4948
 5.90  -0.1064   0.5968   0.4904
 6.00  -0.0985   0.5804   0.4819
 6.10  -0.0922   0.5689   0.4767
 6.20  -0.0843   0.5476   0.4636
 6.30  -0.0775   0.5395   0.4621
 6.40  -0.0718   0.5280   0.4562
 6.50  -0.0664   0.5315   0.4652
 6.60  -0.0600   0.5306   0.4707
 6.70  -0.0528   0.5170   0.4643
 6.80  -0.0465   0.5019   0.4555
 6.90  -0.0430   0.4947   0.4518
 7.00  -0.0411   0.4952   0.4540
 7.10  -0.0383   0.4852   0.4469
 7.20  -0.0354   0.4735   0.4382
 7.30  -0.0341   0.4726   0.4384
 7.40  -0.0329   0.4710   0.4380
 7.50  -0.0329   0.4779   0.4451
 7.60  -0.0346   0.4988   0.4643
 7.70  -0.0357   0.5204   0.4847
