     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
 0.00  -0.1003  -0.1517  -0.2521
 0.10  -0.1029  -0.0819  -0.1849
 0.20  -0.1055  -0.0121  -0.1177
 0.30  -0.1081   0.0542  -0.0539
 0.40  -0.1104   0.1131   0.0027
 0.50  -0.1118   0.1608   0.0490
 0.60  -0.1123   0.2002   0.0879
 0.70  -0.1119   0.2346   0.1227
 0.80  -0.1105   0.2649   0.1544
 0.90  -0.1077   0.2945   0.1868
 1.00  -0.1029   0.3180   0.2150
 1.10  -0.0953   0.3220   0.2266
 1.20  -0.0845   0.2959   0.2114
 1.30  -0.0724   0.2342   0.1618
 1.40  -0.0629   0.1619   0.0990
 1.50  -0.0574   0.1035   0.0462
 1.60  -0.0550   0.0620   0.0070
 1.70  -0.0552   0.0377  -0.0176
 1.80  -0.0570   0.0310  -0.0260
 1.90  -0.0602   0.0415  -0.0187
 2.00  -0.0628   0.0502  -0.0127
 2.10  -0.0652   0.0581  -0.0070
 2.20  -0.0676   0.0693   0.0017
 2.30  -0.0699   0.0809   0.0111
 2.40  -0.0722   0.0943   0.0221
 2.50  -0.0745   0.1116   0.0371
 2.60  -0.0766   0.1278   0.0512
 2.70  -0.0784   0.1431   0.0646
 2.80  -0.0799   0.1565   0.0766
 2.90  -0.0810   0.1649   0.0839
 3.00  -0.0823   0.1790   0.0967
 3.10  -0.0830   0.1887   0.1057
 3.20  -0.0836   0.1996   0.1160
 3.30  -0.0839   0.2106   0.1267
 3.40  -0.0839   0.2197   0.1357
 3.50  -0.0836   0.2267   0.1431
 3.60  -0.0831   0.2314   0.1483
 3.70  -0.0826   0.2361   0.1536
 3.80  -0.0817   0.2372   0.1556
 3.90  -0.0804   0.2339   0.1535
 4.00  -0.0791   0.2251   0.1460
 4.10  -0.0783   0.2205   0.1422
 4.20  -0.0782   0.2221   0.1439
 4.30  -0.0784   0.2261   0.1477
 4.40  -0.0788   0.2302   0.1514
 4.50  -0.0792   0.2335   0.1543
 4.60  -0.0795   0.2345   0.1551
 4.70  -0.0795   0.2388   0.1594
 4.80  -0.0793   0.2538   0.1744
 4.90  -0.0787   0.2749   0.1962
 5.00  -0.0772   0.3107   0.2334
 5.10  -0.0749   0.3564   0.2815
 5.20  -0.0715   0.3829   0.3113
 5.30  -0.0675   0.3793   0.3118
 5.40  -0.0627   0.3749   0.3122
 5.50  -0.0578   0.3565   0.2987
 5.60  -0.0530   0.3401   0.2870
 5.70  -0.0489   0.3287   0.2799
 5.80  -0.0442   0.3165   0.2723
 5.90  -0.0396   0.3083   0.2687
 6.00  -0.0354   0.2990   0.2636
 6.10  -0.0309   0.2881   0.2572
 6.20  -0.0262   0.2767   0.2505
 6.30  -0.0223   0.2698   0.2475
 6.40  -0.0184   0.2617   0.2434
 6.50  -0.0142   0.2558   0.2416
 6.60  -0.0098   0.2443   0.2346
 6.70  -0.0057   0.2333   0.2276
 6.80  -0.0028   0.2272   0.2244
 6.90   0.0000   0.2196   0.2196
 7.00   0.0015   0.2158   0.2173
 7.10   0.0028   0.2121   0.2149
 7.20   0.0037   0.2112   0.2148
 7.30   0.0033   0.2189   0.2221
 7.40   0.0030   0.2250   0.2280
 7.50   0.0021   0.2378   0.2399
 7.60   0.0016   0.2500   0.2516
 7.70   0.0013   0.2614   0.2627
 7.80   0.0013   0.2705   0.2718
 7.90   0.0017   0.2797   0.2814
 8.00   0.0032   0.2867   0.2899
 8.10   0.0044   0.2979   0.3023
 8.20   0.0068   0.3078   0.3147
 8.30   0.0112   0.3092   0.3204
 8.40   0.0161   0.3069   0.3230
 8.50   0.0205   0.3099   0.3305
 8.60   0.0250   0.3145   0.3395
 8.70   0.0297   0.3179   0.3476
 8.80   0.0345   0.3209   0.3554
 8.90   0.0391   0.3246   0.3636
 9.00   0.0432   0.3316   0.3748
 9.10   0.0478   0.3377   0.3854
 9.20   0.0524   0.3436   0.3960
 9.30   0.0575   0.3490   0.4065
 9.40   0.0626   0.3562   0.4188
 9.50   0.0682   0.3646   0.4329
 9.60   0.0747   0.3709   0.4456
 9.70   0.0813   0.3776   0.4590
 9.80   0.0889   0.3778   0.4667
 9.90   0.0970   0.3778   0.4748
10.00   0.1055   0.3781   0.4837
10.10   0.1151   0.3750   0.4901
10.20   0.1245   0.3749   0.4994
10.30   0.1348   0.3690   0.5037
10.40   0.1449   0.3650   0.5098
10.50   0.1552   0.3588   0.5140
10.60   0.1657   0.3525   0.5182
10.70   0.1763   0.3463   0.5226
10.80   0.1874   0.3387   0.5261
10.90   0.1986   0.3325   0.5311
11.00   0.2104   0.3223   0.5327
11.10   0.2227   0.3110   0.5337
11.20   0.2356   0.2972   0.5329
11.30   0.2490   0.2817   0.5307
11.40   0.2625   0.2681   0.5306
11.50   0.2762   0.2510   0.5273
11.60   0.2901   0.2363   0.5264
11.70   0.3040   0.2176   0.5215
11.80   0.3176   0.1987   0.5164
11.90   0.3307   0.1759   0.5067
12.00   0.3433   0.1565   0.4998
12.10   0.3554   0.1348   0.4902
12.20   0.3662   0.1141   0.4803
12.30   0.3746   0.0922   0.4668
12.40   0.3794   0.0744   0.4538
12.50   0.3820   0.0547   0.4367
12.60   0.3824   0.0378   0.4201
12.70   0.3813   0.0199   0.4012
12.80   0.3784   0.0037   0.3821
12.90   0.3743  -0.0114   0.3630
13.00   0.3687  -0.0244   0.3443
13.10   0.3618  -0.0381   0.3236
13.20   0.3530  -0.0461   0.3069
13.30   0.3433  -0.0552   0.2881
13.40   0.3322  -0.0603   0.2719
13.50   0.3205  -0.0652   0.2553
13.60   0.3077  -0.0646   0.2431
13.70   0.2945  -0.0652   0.2293
13.80   0.2809  -0.0612   0.2197
13.90   0.2668  -0.0575   0.2093
14.00   0.2527  -0.0525   0.2002
14.10   0.2383  -0.0447   0.1937
14.20   0.2251  -0.0389   0.1862
14.30   0.2115  -0.0280   0.1835
14.40   0.1983  -0.0167   0.1815
14.50   0.1851  -0.0037   0.1814
14.60   0.1722  -0.0000   0.1722
14.70   0.1598   0.0031   0.1629
14.80   0.1473   0.0069   0.1542
14.90   0.1361   0.0085   0.1446
15.00   0.1248   0.0114   0.1362
15.10   0.1145   0.0132   0.1277
15.20   0.1052   0.0135   0.1188
15.30   0.0960   0.0137   0.1097
15.40   0.0878   0.0124   0.1001
15.50   0.0800   0.0124   0.0924
15.60   0.0723   0.0132   0.0855
15.70   0.0657   0.0145   0.0802
15.80   0.0592   0.0162   0.0754
15.90   0.0533   0.0178   0.0710
16.00   0.0485   0.0174   0.0660
16.10   0.0438   0.0167   0.0605
16.20   0.0399   0.0147   0.0545
16.30   0.0361   0.0122   0.0483
16.40   0.0323   0.0092   0.0415
16.50   0.0289   0.0056   0.0345
16.60   0.0260   0.0018   0.0277
16.70   0.0228  -0.0025   0.0203
16.80   0.0203  -0.0059   0.0144
16.90   0.0178  -0.0096   0.0082
17.00   0.0155  -0.0143   0.0012
17.10   0.0135  -0.0180  -0.0045
17.20   0.0115  -0.0207  -0.0092
17.30   0.0100  -0.0244  -0.0144
17.40   0.0089  -0.0273  -0.0184
17.50   0.0079  -0.0303  -0.0223
17.60   0.0073  -0.0329  -0.0257
17.70   0.0068  -0.0353  -0.0285
17.80   0.0066  -0.0378  -0.0312
17.90   0.0064  -0.0397  -0.0333
18.00   0.0065  -0.0416  -0.0352
18.10   0.0066  -0.0434  -0.0368
18.20   0.0069  -0.0453  -0.0384
18.30   0.0072  -0.0470  -0.0398
18.40   0.0076  -0.0487  -0.0411
18.50   0.0081  -0.0504  -0.0423
18.60   0.0086  -0.0520  -0.0434
18.70   0.0089  -0.0530  -0.0441
