pressure (hPa)         ozone mixing ration (kg/kg)
     0.207579  1.55104e-06
     0.237186  1.71740e-06
     0.271016  1.88629e-06
     0.309671  2.05852e-06
     0.353839  2.25655e-06
     0.404308  2.46569e-06
     0.461975  2.68414e-06
     0.527867  2.93887e-06
     0.603157  3.22346e-06
     0.689185  3.53970e-06
     0.787484  3.91813e-06
     0.899804  4.35545e-06
      1.02814  4.84119e-06
      1.17479  5.38905e-06
      1.34235  6.01378e-06
      1.53381  6.70729e-06
      1.75258  7.49363e-06
      2.00255  8.36709e-06
      2.28818  9.29089e-06
      2.61454  1.02636e-05
      2.98745  1.12980e-05
      3.41356  1.22964e-05
      3.90044  1.32355e-05
      4.45676  1.39764e-05
      5.09243  1.46919e-05
      5.81877  1.53333e-05
      6.64870  1.58106e-05
      7.59701  1.62094e-05
      8.68058  1.63800e-05
      9.91870  1.62484e-05
      10.0518  1.62139e-05
      10.1868  1.61855e-05
      10.3235  1.61757e-05
      10.4621  1.61389e-05
      10.6025  1.61098e-05
      10.7448  1.60707e-05
      10.8890  1.60474e-05
      11.0352  1.60132e-05
      11.1833  1.59834e-05
      11.3334  1.59599e-05
      11.4855  1.59192e-05
      11.6397  1.58790e-05
      11.7959  1.58329e-05
      11.9543  1.58006e-05
      12.1147  1.57481e-05
      12.2773  1.56830e-05
      12.4421  1.56028e-05
      12.6091  1.55412e-05
      12.7784  1.54674e-05
      12.9499  1.53947e-05
      13.1237  1.53358e-05
      13.2999  1.52555e-05
      13.4784  1.51839e-05
      13.6593  1.50932e-05
      13.8427  1.50117e-05
      14.0285  1.49252e-05
      14.2168  1.48394e-05
      14.4076  1.47407e-05
      14.6010  1.46307e-05
      14.7970  1.45208e-05
      14.9956  1.44078e-05
      15.1969  1.42958e-05
      15.4008  1.41642e-05
      15.6076  1.40273e-05
      15.8170  1.39029e-05
      16.0294  1.37708e-05
      16.2445  1.36400e-05
      16.4626  1.35069e-05
      16.6835  1.33710e-05
      16.9075  1.32374e-05
      17.1344  1.30959e-05
      17.3644  1.29546e-05
      17.5975  1.28202e-05
      17.8337  1.26732e-05
      18.0730  1.25292e-05
      18.3156  1.23741e-05
      18.5615  1.22302e-05
      18.8106  1.20783e-05
      19.0631  1.19271e-05
      19.3190  1.17740e-05
      19.5783  1.16214e-05
      19.8411  1.14616e-05
      20.1074  1.12919e-05
      20.3773  1.11364e-05
      20.6508  1.09759e-05
      20.9280  1.08085e-05
      21.2089  1.06590e-05
      21.4936  1.04954e-05
      21.7821  1.03353e-05
      22.0745  1.01774e-05
      22.3708  1.00242e-05
      22.6710  9.86908e-06
      22.9753  9.71517e-06
      23.2837  9.55490e-06
      23.5963  9.38824e-06
      23.9130  9.21953e-06
      24.2340  9.05604e-06
      24.5592  8.89149e-06
      24.8889  8.73596e-06
      25.2230  8.56546e-06
      25.5615  8.40254e-06
      25.9046  8.24320e-06
      26.2523  8.08569e-06
      26.6047  7.91761e-06
      26.9618  7.76297e-06
      27.3237  7.60064e-06
      27.6905  7.44973e-06
      28.0621  7.28866e-06
      28.4388  7.12685e-06
      28.8205  6.96490e-06
      29.2074  6.80715e-06
      29.5994  6.65958e-06
      29.9967  6.50982e-06
      30.3994  6.35567e-06
      30.8074  6.20443e-06
      31.2209  6.05982e-06
      31.6400  5.91440e-06
      32.0647  5.76872e-06
      32.4951  5.62018e-06
      32.9312  5.48007e-06
      33.3733  5.34919e-06
      33.8212  5.21176e-06
      34.2752  5.07721e-06
      34.7352  4.94493e-06
      35.2015  4.81355e-06
      35.6740  4.69016e-06
      36.1528  4.56316e-06
      36.6381  4.43620e-06
      37.1299  4.31671e-06
      37.6283  4.19410e-06
      38.1333  4.07660e-06
      38.6452  3.95902e-06
      39.1639  3.84163e-06
      39.6896  3.72495e-06
      40.2223  3.60950e-06
      40.7622  3.50049e-06
      41.3093  3.39418e-06
      41.8638  3.28966e-06
      42.4257  3.18488e-06
      42.9952  3.08565e-06
      43.5723  2.98398e-06
      44.1572  2.88676e-06
      44.7499  2.79017e-06
      45.3505  2.69325e-06
      45.9592  2.59897e-06
      46.5761  2.50681e-06
      47.2013  2.41725e-06
      47.8349  2.33208e-06
      48.4769  2.24566e-06
      49.1276  2.16366e-06
      49.7870  2.08255e-06
      50.4553  1.99958e-06
      51.1326  1.92503e-06
      51.8189  1.85099e-06
      52.5145  1.77890e-06
      53.2193  1.71031e-06
      53.9337  1.64435e-06
      54.6576  1.57973e-06
      55.3912  1.51815e-06
      56.1347  1.45843e-06
      56.8882  1.39674e-06
      57.6518  1.33499e-06
      58.4257  1.27542e-06
      59.2099  1.21800e-06
      60.0046  1.16179e-06
      60.8101  1.10761e-06
      61.6263  1.05611e-06
      62.4535  1.00632e-06
      63.2918  9.56154e-07
      64.1413  9.07417e-07
      65.0022  8.59866e-07
      65.8747  8.14695e-07
      66.7590  7.70982e-07
      67.6550  7.28119e-07
      68.5631  6.87392e-07
      69.4834  6.45673e-07
      70.4161  6.06095e-07
      71.3613  5.68195e-07
      72.3191  5.30610e-07
      73.2898  4.95534e-07
      74.2736  4.64522e-07
      75.2705  4.36194e-07
      76.2808  4.08912e-07
      77.3047  3.83054e-07
      78.3423  3.59664e-07
      79.3939  3.37857e-07
      80.4596  3.18588e-07
      81.5396  3.01638e-07
      82.6341  2.85782e-07
      83.7432  2.70567e-07
      84.8673  2.56658e-07
      86.0064  2.44101e-07
      87.1609  2.32842e-07
      88.3308  2.22424e-07
      89.5164  2.13084e-07
      90.7180  2.04275e-07
      91.9356  1.96591e-07
      93.1696  1.89478e-07
      94.4202  1.83444e-07
      95.6876  1.77535e-07
      96.9720  1.72148e-07
      98.2736  1.66100e-07
      99.5927  1.61080e-07
      100.929  1.56116e-07
      102.284  1.51861e-07
      103.657  1.48151e-07
      105.048  1.44790e-07
      106.458  1.41669e-07
      107.887  1.38751e-07
      109.336  1.35690e-07
      110.803  1.32838e-07
      112.290  1.30193e-07
      113.798  1.27268e-07
      115.325  1.24994e-07
      116.873  1.22606e-07
      118.442  1.20299e-07
      120.032  1.18245e-07
      121.643  1.16369e-07
      123.275  1.14722e-07
      124.930  1.13192e-07
      126.607  1.11593e-07
      128.306  1.10168e-07
      130.029  1.08823e-07
      131.774  1.07237e-07
      133.543  1.05782e-07
      135.335  1.04466e-07
      137.152  1.02906e-07
      138.993  1.01724e-07
      140.858  1.00680e-07
      142.749  9.96110e-08
      144.665  9.85726e-08
      146.607  9.73889e-08
      148.575  9.65476e-08
      150.569  9.57896e-08
      152.590  9.49013e-08
      154.638  9.39085e-08
      156.714  9.27424e-08
      158.817  9.16228e-08
      160.949  9.07164e-08
      163.110  8.97322e-08
      165.299  8.90015e-08
      167.518  8.83305e-08
      169.766  8.77162e-08
      172.045  8.70457e-08
      174.354  8.67377e-08
      176.694  8.58170e-08
      179.066  8.50417e-08
      181.470  8.44276e-08
      183.905  8.39730e-08
      186.374  8.32784e-08
      188.876  8.29851e-08
      191.411  8.24610e-08
      193.980  8.19786e-08
      196.584  8.15844e-08
      199.222  8.09268e-08
      201.896  8.05472e-08
      204.606  8.01558e-08
      207.353  7.98323e-08
      210.136  7.97160e-08
      212.957  7.95047e-08
      215.815  7.91188e-08
      218.712  7.87911e-08
      221.647  7.85073e-08
      224.623  7.83884e-08
      227.638  7.81696e-08
      230.693  7.78776e-08
      233.790  7.76181e-08
      236.928  7.72190e-08
      240.108  7.67015e-08
      243.331  7.64613e-08
      246.597  7.63989e-08
      249.907  7.62888e-08
      253.261  7.62600e-08
      256.661  7.61318e-08
      260.106  7.59040e-08
      263.597  7.58656e-08
