pressure (hPa)         ozone mixing ration (kg/kg)     
     0.207579   1.6307515e-06
     0.237186   1.8176511e-06
     0.271016   2.0061792e-06
     0.309671   2.1891087e-06
     0.353839   2.4033807e-06
     0.404308   2.6264737e-06
     0.461975   2.8539631e-06
     0.527867   3.1160336e-06
     0.603157   3.3941229e-06
     0.689185   3.6894157e-06
     0.787484   4.0257968e-06
     0.899804   4.4163748e-06
      1.02814   4.8506531e-06
      1.17479   5.3388154e-06
      1.34235   5.8892926e-06
      1.53381   6.4982888e-06
      1.75258   7.1881279e-06
      2.00255   7.9941723e-06
      2.28818   8.8739206e-06
      2.61454   9.8269953e-06
      2.98745   1.0870295e-05
      3.41356   1.1902647e-05
      3.90044   1.2895725e-05
      4.45676   1.3667742e-05
      5.09243   1.4388917e-05
      5.81877   1.4988643e-05
      6.64870   1.5295311e-05
      7.59701   1.5559546e-05
      8.68058   1.5580464e-05
      9.91870   1.5561331e-05
      10.0518   1.5519946e-05
      10.1868   1.5502870e-05
      10.3235   1.5494770e-05
      10.4621   1.5488266e-05
      10.6025   1.5454956e-05
      10.7448   1.5396959e-05
      10.8890   1.5393115e-05
      11.0352   1.5353909e-05
      11.1833   1.5329353e-05
      11.3334   1.5318204e-05
      11.4855   1.5272091e-05
      11.6397   1.5226499e-05
      11.7959   1.5186786e-05
      11.9543   1.5204028e-05
      12.1147   1.5110669e-05
      12.2773   1.5003603e-05
      12.4421   1.4898703e-05
      12.6091   1.4834781e-05
      12.7784   1.4716212e-05
      12.9499   1.4628956e-05
      13.1237   1.4642073e-05
      13.2999   1.4544863e-05
      13.4784   1.4513001e-05
      13.6593   1.4439036e-05
      13.8427   1.4363665e-05
      14.0285   1.4293705e-05
      14.2168   1.4242471e-05
      14.4076   1.4137029e-05
      14.6010   1.4024297e-05
      14.7970   1.3890343e-05
      14.9956   1.3809750e-05
      15.1969   1.3695228e-05
      15.4008   1.3574157e-05
      15.6076   1.3446156e-05
      15.8170   1.3327498e-05
      16.0294   1.3203986e-05
      16.2445   1.3097360e-05
      16.4626   1.3002023e-05
      16.6835   1.2856853e-05
      16.9075   1.2710113e-05
      17.1344   1.2603830e-05
      17.3644   1.2458413e-05
      17.5975   1.2348988e-05
      17.8337   1.2177310e-05
      18.0730   1.2064461e-05
      18.3156   1.1948038e-05
      18.5615   1.1775266e-05
      18.8106   1.1683250e-05
      19.0631   1.1559490e-05
      19.3190   1.1419565e-05
      19.5783   1.1265109e-05
      19.8411   1.1134925e-05
      20.1074   1.0969040e-05
      20.3773   1.0825603e-05
      20.6508   1.0678285e-05
      20.9280   1.0527104e-05
