pressure (hPa)         ozone mixing ration (kg/kg)
     0.207579  1.65252e-06
     0.237186  1.82688e-06
     0.271016  2.00304e-06
     0.309671  2.18307e-06
     0.353839  2.38358e-06
     0.404308  2.59996e-06
     0.461975  2.83417e-06
     0.527867  3.10873e-06
     0.603157  3.40379e-06
     0.689185  3.72051e-06
     0.787484  4.08474e-06
     0.899804  4.50158e-06
      1.02814  4.96633e-06
      1.17479  5.50428e-06
      1.34235  6.10538e-06
      1.53381  6.76033e-06
      1.75258  7.48611e-06
      2.00255  8.30883e-06
      2.28818  9.18042e-06
      2.61454  1.00976e-05
      2.98745  1.10653e-05
      3.41356  1.19381e-05
      3.90044  1.27012e-05
      4.45676  1.32161e-05
      5.09243  1.36786e-05
      5.81877  1.41006e-05
      6.64870  1.44507e-05
      7.59701  1.48010e-05
      8.68058  1.50869e-05
      9.91870  1.51943e-05
      10.0518  1.51953e-05
      10.1868  1.52032e-05
      10.3235  1.52188e-05
      10.4621  1.52205e-05
      10.6025  1.52232e-05
      10.7448  1.52176e-05
      10.8890  1.52099e-05
      11.0352  1.52046e-05
      11.1833  1.52011e-05
      11.3334  1.51993e-05
      11.4855  1.51766e-05
      11.6397  1.51721e-05
      11.7959  1.51441e-05
      11.9543  1.51257e-05
      12.1147  1.50937e-05
      12.2773  1.50395e-05
      12.4421  1.50009e-05
      12.6091  1.49614e-05
      12.7784  1.49165e-05
      12.9499  1.48594e-05
      13.1237  1.48097e-05
      13.2999  1.47555e-05
      13.4784  1.46947e-05
      13.6593  1.46383e-05
      13.8427  1.45882e-05
      14.0285  1.45281e-05
      14.2168  1.44617e-05
      14.4076  1.43881e-05
      14.6010  1.43178e-05
      14.7970  1.42302e-05
      14.9956  1.41425e-05
      15.1969  1.40524e-05
      15.4008  1.39646e-05
      15.6076  1.38705e-05
      15.8170  1.37763e-05
      16.0294  1.36759e-05
      16.2445  1.35672e-05
      16.4626  1.34602e-05
      16.6835  1.33600e-05
      16.9075  1.32529e-05
      17.1344  1.31492e-05
      17.3644  1.30363e-05
      17.5975  1.29108e-05
      17.8337  1.27902e-05
      18.0730  1.26655e-05
      18.3156  1.25433e-05
      18.5615  1.24244e-05
      18.8106  1.22984e-05
      19.0631  1.21667e-05
      19.3190  1.20294e-05
      19.5783  1.18887e-05
      19.8411  1.17512e-05
      20.1074  1.15938e-05
      20.3773  1.14560e-05
      20.6508  1.13143e-05
      20.9280  1.11699e-05
      21.2089  1.10176e-05
      21.4936  1.08731e-05
      21.7821  1.07265e-05
      22.0745  1.05810e-05
      22.3708  1.04262e-05
      22.6710  1.02797e-05
      22.9753  1.01245e-05
      23.2837  9.97046e-06
      23.5963  9.80825e-06
      23.9130  9.64559e-06
      24.2340  9.49491e-06
      24.5592  9.32806e-06
      24.8889  9.15874e-06
      25.2230  8.98534e-06
      25.5615  8.82203e-06
      25.9046  8.65226e-06
      26.2523  8.49587e-06
      26.6047  8.32392e-06
      26.9618  8.16688e-06
      27.3237  8.00043e-06
      27.6905  7.84791e-06
      28.0621  7.69225e-06
      28.4388  7.53697e-06
      28.8205  7.38642e-06
      29.2074  7.22408e-06
      29.5994  7.07761e-06
      29.9967  6.92780e-06
      30.3994  6.77783e-06
      30.8074  6.62854e-06
      31.2209  6.48291e-06
      31.6400  6.33991e-06
      32.0647  6.19860e-06
      32.4951  6.05673e-06
      32.9312  5.91894e-06
      33.3733  5.78505e-06
      33.8212  5.64107e-06
      34.2752  5.50057e-06
      34.7352  5.36626e-06
      35.2015  5.23625e-06
      35.6740  5.10255e-06
      36.1528  4.97208e-06
      36.6381  4.84623e-06
      37.1299  4.72270e-06
      37.6283  4.60293e-06
      38.1333  4.48366e-06
      38.6452  4.36570e-06
      39.1639  4.25231e-06
      39.6896  4.13298e-06
      40.2223  4.01696e-06
      40.7622  3.90369e-06
      41.3093  3.79614e-06
      41.8638  3.69318e-06
      42.4257  3.58843e-06
      42.9952  3.48630e-06
      43.5723  3.38306e-06
      44.1572  3.27971e-06
      44.7499  3.17671e-06
      45.3505  3.08170e-06
      45.9592  2.98910e-06
      46.5761  2.89920e-06
      47.2013  2.81230e-06
      47.8349  2.73097e-06
      48.4769  2.64628e-06
      49.1276  2.56377e-06
      49.7870  2.48370e-06
      50.4553  2.40097e-06
      51.1326  2.32326e-06
      51.8189  2.24140e-06
      52.5145  2.16245e-06
      53.2193  2.08433e-06
      53.9337  2.01052e-06
      54.6576  1.93637e-06
      55.3912  1.85996e-06
      56.1347  1.78912e-06
      56.8882  1.71687e-06
      57.6518  1.64966e-06
      58.4257  1.57926e-06
      59.2099  1.51155e-06
      60.0046  1.44427e-06
