pressure (hPa)         ozone mixing ration (kg/kg)    
     0.207579   1.6516331e-06
     0.237186   1.8394237e-06
     0.271016   2.0289705e-06
     0.309671   2.2181372e-06
     0.353839   2.4179471e-06
     0.404308   2.6353807e-06
     0.461975   2.8759109e-06
     0.527867   3.1495932e-06
     0.603157   3.4407421e-06
     0.689185   3.7519475e-06
     0.787484   4.1200844e-06
     0.899804   4.5320843e-06
      1.02814   4.9901778e-06
      1.17479   5.5326804e-06
      1.34235   6.1995899e-06
      1.53381   6.9434021e-06
      1.75258   7.7675225e-06
      2.00255   8.6705458e-06
      2.28818   9.5974684e-06
      2.61454   1.0540873e-05
      2.98745   1.1422343e-05
      3.41356   1.2148239e-05
      3.90044   1.2706146e-05
      4.45676   1.2927230e-05
      5.09243   1.3083283e-05
      5.81877   1.3137457e-05
      6.64870   1.3027241e-05
      7.59701   1.3073138e-05
      8.68058   1.3217686e-05
      9.91870   1.3285859e-05
      10.0518   1.3267042e-05
      10.1868   1.3206925e-05
      10.3235   1.3198009e-05
      10.4621   1.3214291e-05
      10.6025   1.3156322e-05
      10.7448   1.3183791e-05
      10.8890   1.3166934e-05
      11.0352   1.3145971e-05
      11.1833   1.3135916e-05
      11.3334   1.3109444e-05
      11.4855   1.3072388e-05
      11.6397   1.3105085e-05
      11.7959   1.3071140e-05
      11.9543   1.3039866e-05
      12.1147   1.3013418e-05
      12.2773   1.2960703e-05
      12.4421   1.2932750e-05
      12.6091   1.2918290e-05
      12.7784   1.2904253e-05
      12.9499   1.2886008e-05
      13.1237   1.2889436e-05
      13.2999   1.2791815e-05
      13.4784   1.2718782e-05
      13.6593   1.2752000e-05
      13.8427   1.2731661e-05
      14.0285   1.2709771e-05
      14.2168   1.2672055e-05
      14.4076   1.2588404e-05
      14.6010   1.2565318e-05
      14.7970   1.2482261e-05
      14.9956   1.2426368e-05
      15.1969   1.2401318e-05
      15.4008   1.2409891e-05
      15.6076   1.2298933e-05
      15.8170   1.2209399e-05
      16.0294   1.2132981e-05
      16.2445   1.2050905e-05
      16.4626   1.1959264e-05
      16.6835   1.1893229e-05
      16.9075   1.1801502e-05
      17.1344   1.1722109e-05
      17.3644   1.1644027e-05
      17.5975   1.1522057e-05
      17.8337   1.1468615e-05
      18.0730   1.1386526e-05
      18.3156   1.1226313e-05
      18.5615   1.1187243e-05
      18.8106   1.1045911e-05
      19.0631   1.0979099e-05
      19.3190   1.0862364e-05
      19.5783   1.0744808e-05
      19.8411   1.0628699e-05
      20.1074   1.0490592e-05
      20.3773   1.0385806e-05
      20.6508   1.0228584e-05
      20.9280   1.0143307e-05
