pressure (hPa)         ozone mixing ration (kg/kg)
     0.207579  1.64612e-06
     0.237186  1.81312e-06
     0.271016  1.98421e-06
     0.309671  2.16181e-06
     0.353839  2.35095e-06
     0.404308  2.55241e-06
     0.461975  2.76888e-06
     0.527867  3.01676e-06
     0.603157  3.28887e-06
     0.689185  3.58603e-06
     0.787484  3.92773e-06
     0.899804  4.30886e-06
      1.02814  4.72613e-06
      1.17479  5.19920e-06
      1.34235  5.75353e-06
      1.53381  6.36128e-06
      1.75258  7.02795e-06
      2.00255  7.78809e-06
      2.28818  8.60256e-06
      2.61454  9.46986e-06
      2.98745  1.03982e-05
      3.41356  1.13239e-05
      3.90044  1.22418e-05
      4.45676  1.30657e-05
      5.09243  1.38617e-05
      5.81877  1.45914e-05
      6.64870  1.51790e-05
      7.59701  1.57648e-05
      8.68058  1.61377e-05
      9.91870  1.62772e-05
      10.0518  1.62684e-05
      10.1868  1.62552e-05
      10.3235  1.62669e-05
      10.4621  1.62448e-05
      10.6025  1.62445e-05
      10.7448  1.62192e-05
      10.8890  1.61936e-05
      11.0352  1.61987e-05
      11.1833  1.61785e-05
      11.3334  1.61604e-05
      11.4855  1.61371e-05
      11.6397  1.61145e-05
      11.7959  1.60735e-05
      11.9543  1.60526e-05
      12.1147  1.60177e-05
      12.2773  1.59698e-05
      12.4421  1.59130e-05
      12.6091  1.58609e-05
      12.7784  1.58040e-05
      12.9499  1.57421e-05
      13.1237  1.56662e-05
      13.2999  1.55915e-05
      13.4784  1.55169e-05
      13.6593  1.54445e-05
      13.8427  1.53711e-05
      14.0285  1.52953e-05
      14.2168  1.52110e-05
      14.4076  1.51290e-05
      14.6010  1.50341e-05
      14.7970  1.49417e-05
      14.9956  1.48409e-05
      15.1969  1.47375e-05
      15.4008  1.46241e-05
      15.6076  1.45103e-05
      15.8170  1.43958e-05
      16.0294  1.42675e-05
      16.2445  1.41369e-05
      16.4626  1.40099e-05
      16.6835  1.38749e-05
      16.9075  1.37329e-05
      17.1344  1.36010e-05
      17.3644  1.34606e-05
      17.5975  1.33269e-05
      17.8337  1.31817e-05
      18.0730  1.30352e-05
      18.3156  1.28898e-05
      18.5615  1.27392e-05
      18.8106  1.25857e-05
      19.0631  1.24351e-05
      19.3190  1.22715e-05
      19.5783  1.21099e-05
      19.8411  1.19516e-05
      20.1074  1.17787e-05
      20.3773  1.16216e-05
      20.6508  1.14497e-05
      20.9280  1.12939e-05
      21.2089  1.11253e-05
      21.4936  1.09623e-05
      21.7821  1.07980e-05
      22.0745  1.06207e-05
      22.3708  1.04512e-05
      22.6710  1.02828e-05
      22.9753  1.01106e-05
      23.2837  9.94490e-06
      23.5963  9.77384e-06
      23.9130  9.60252e-06
      24.2340  9.43216e-06
      24.5592  9.27021e-06
      24.8889  9.10462e-06
      25.2230  8.93714e-06
      25.5615  8.76873e-06
      25.9046  8.60080e-06
      26.2523  8.43319e-06
      26.6047  8.26206e-06
      26.9618  8.09623e-06
      27.3237  7.92910e-06
      27.6905  7.77167e-06
      28.0621  7.60742e-06
      28.4388  7.44623e-06
      28.8205  7.28881e-06
      29.2074  7.12364e-06
      29.5994  6.96320e-06
      29.9967  6.80611e-06
      30.3994  6.64465e-06
      30.8074  6.48989e-06
      31.2209  6.33596e-06
      31.6400  6.19020e-06
      32.0647  6.04102e-06
      32.4951  5.89468e-06
      32.9312  5.74826e-06
      33.3733  5.60537e-06
      33.8212  5.46564e-06
      34.2752  5.32557e-06
      34.7352  5.18320e-06
      35.2015  5.04033e-06
      35.6740  4.90247e-06
      36.1528  4.76659e-06
      36.6381  4.63287e-06
      37.1299  4.49974e-06
      37.6283  4.36758e-06
      38.1333  4.23798e-06
      38.6452  4.11584e-06
      39.1639  3.99243e-06
      39.6896  3.87129e-06
      40.2223  3.75435e-06
      40.7622  3.63978e-06
      41.3093  3.52857e-06
      41.8638  3.42000e-06
      42.4257  3.31268e-06
      42.9952  3.20524e-06
      43.5723  3.10231e-06
      44.1572  3.00006e-06
      44.7499  2.89607e-06
      45.3505  2.78849e-06
      45.9592  2.68581e-06
      46.5761  2.58737e-06
      47.2013  2.48814e-06
      47.8349  2.39418e-06
      48.4769  2.30372e-06
      49.1276  2.21557e-06
      49.7870  2.12746e-06
      50.4553  2.04142e-06
      51.1326  1.95683e-06
      51.8189  1.87713e-06
      52.5145  1.79834e-06
      53.2193  1.71962e-06
      53.9337  1.64373e-06
      54.6576  1.57281e-06
      55.3912  1.50155e-06
      56.1347  1.43403e-06
      56.8882  1.36922e-06
      57.6518  1.30566e-06
      58.4257  1.24347e-06
      59.2099  1.18454e-06
      60.0046  1.12759e-06
      60.8101  1.07052e-06
      61.6263  1.01507e-06
      62.4535  9.62348e-07
      63.2918  9.11387e-07
      64.1413  8.64631e-07
      65.0022  8.19092e-07
      65.8747  7.77191e-07
      66.7590  7.36185e-07
      67.6550  6.96097e-07
      68.5631  6.58092e-07
      69.4834  6.21693e-07
      70.4161  5.86742e-07
      71.3613  5.52519e-07
      72.3191  5.20092e-07
      73.2898  4.89786e-07
      74.2736  4.60208e-07
      75.2705  4.30796e-07
      76.2808  4.03078e-07
      77.3047  3.78063e-07
      78.3423  3.55144e-07
      79.3939  3.33676e-07
      80.4596  3.13751e-07
      81.5396  2.95229e-07
      82.6341  2.78886e-07
      83.7432  2.63561e-07
      84.8673  2.50272e-07
      86.0064  2.37543e-07
      87.1609  2.25886e-07
      88.3308  2.15485e-07
      89.5164  2.05644e-07
      90.7180  1.97417e-07
      91.9356  1.89895e-07
      93.1696  1.82910e-07
      94.4202  1.76576e-07
      95.6876  1.70561e-07
