pressure (hPa)         ozone mixing ration (kg/kg)     
     0.207579   1.6293948e-06
     0.237186   1.8088357e-06
     0.271016   1.9931564e-06
     0.309671   2.1805134e-06
     0.353839   2.3780560e-06
     0.404308   2.5861378e-06
     0.461975   2.8069792e-06
     0.527867   3.0713839e-06
     0.603157   3.3588847e-06
     0.689185   3.6705637e-06
     0.787484   4.0326568e-06
     0.899804   4.4530788e-06
      1.02814   4.9231804e-06
      1.17479   5.4613434e-06
      1.34235   6.0663968e-06
      1.53381   6.7196640e-06
      1.75258   7.4300535e-06
      2.00255   8.2396011e-06
      2.28818   9.0985149e-06
      2.61454   1.0002742e-05
      2.98745   1.0918157e-05
      3.41356   1.1771520e-05
      3.90044   1.2552666e-05
      4.45676   1.3165890e-05
      5.09243   1.3758588e-05
      5.81877   1.4280291e-05
      6.64870   1.4589455e-05
      7.59701   1.4907649e-05
      8.68058   1.5049675e-05
      9.91870   1.5170141e-05
      10.0518   1.5168002e-05
      10.1868   1.5146729e-05
      10.3235   1.5155107e-05
      10.4621   1.5126908e-05
      10.6025   1.5145585e-05
      10.7448   1.5132361e-05
      10.8890   1.5127058e-05
      11.0352   1.5135456e-05
      11.1833   1.5133742e-05
      11.3334   1.5094958e-05
      11.4855   1.5104100e-05
      11.6397   1.5089046e-05
      11.7959   1.5067969e-05
      11.9543   1.5046383e-05
      12.1147   1.5021418e-05
      12.2773   1.4983219e-05
      12.4421   1.4925636e-05
      12.6091   1.4843506e-05
      12.7784   1.4821521e-05
      12.9499   1.4717094e-05
      13.1237   1.4672101e-05
      13.2999   1.4595754e-05
      13.4784   1.4521541e-05
      13.6593   1.4512230e-05
      13.8427   1.4436381e-05
      14.0285   1.4383168e-05
      14.2168   1.4293388e-05
      14.4076   1.4235179e-05
      14.6010   1.4154128e-05
      14.7970   1.4080234e-05
      14.9956   1.4013221e-05
      15.1969   1.3869397e-05
      15.4008   1.3810273e-05
      15.6076   1.3719947e-05
      15.8170   1.3593468e-05
      16.0294   1.3532192e-05
      16.2445   1.3391193e-05
      16.4626   1.3282557e-05
      16.6835   1.3181680e-05
      16.9075   1.3018889e-05
      17.1344   1.2927299e-05
      17.3644   1.2794936e-05
      17.5975   1.2695259e-05
      17.8337   1.2529403e-05
      18.0730   1.2413364e-05
      18.3156   1.2268770e-05
      18.5615   1.2157854e-05
      18.8106   1.2016431e-05
      19.0631   1.1868863e-05
      19.3190   1.1700332e-05
      19.5783   1.1567561e-05
      19.8411   1.1422173e-05
      20.1074   1.1253007e-05
      20.3773   1.1111384e-05
      20.6508   1.0947908e-05
      20.9280   1.0808079e-05
