pressure (hPa)         ozone mixing ration (kg/kg)
     0.207579  1.64058e-06
     0.237186  1.80718e-06
     0.271016  1.97663e-06
     0.309671  2.14981e-06
     0.353839  2.34214e-06
     0.404308  2.54870e-06
     0.461975  2.77099e-06
     0.527867  3.02669e-06
     0.603157  3.30425e-06
     0.689185  3.60509e-06
     0.787484  3.95514e-06
     0.899804  4.35115e-06
      1.02814  4.78488e-06
      1.17479  5.26685e-06
      1.34235  5.81850e-06
      1.53381  6.41468e-06
      1.75258  7.05880e-06
      2.00255  7.83415e-06
      2.28818  8.68659e-06
      2.61454  9.61417e-06
      2.98745  1.06273e-05
      3.41356  1.16028e-05
      3.90044  1.25276e-05
      4.45676  1.32741e-05
      5.09243  1.39912e-05
      5.81877  1.46691e-05
      6.64870  1.52245e-05
      7.59701  1.58007e-05
      8.68058  1.61970e-05
      9.91870  1.63212e-05
      10.0518  1.63068e-05
      10.1868  1.62946e-05
      10.3235  1.62817e-05
      10.4621  1.62692e-05
      10.6025  1.62643e-05
      10.7448  1.62421e-05
      10.8890  1.62152e-05
      11.0352  1.62010e-05
      11.1833  1.61718e-05
      11.3334  1.61510e-05
      11.4855  1.61184e-05
      11.6397  1.60830e-05
      11.7959  1.60546e-05
      11.9543  1.60271e-05
      12.1147  1.59800e-05
      12.2773  1.59158e-05
      12.4421  1.58614e-05
      12.6091  1.57970e-05
      12.7784  1.57220e-05
      12.9499  1.56612e-05
      13.1237  1.55856e-05
      13.2999  1.55023e-05
      13.4784  1.54372e-05
      13.6593  1.53588e-05
      13.8427  1.52784e-05
      14.0285  1.51902e-05
      14.2168  1.50961e-05
      14.4076  1.50039e-05
      14.6010  1.48979e-05
      14.7970  1.47944e-05
      14.9956  1.46834e-05
      15.1969  1.45612e-05
      15.4008  1.44369e-05
      15.6076  1.43218e-05
      15.8170  1.42013e-05
      16.0294  1.40791e-05
      16.2445  1.39541e-05
      16.4626  1.38236e-05
      16.6835  1.36795e-05
      16.9075  1.35539e-05
      17.1344  1.34188e-05
      17.3644  1.32756e-05
      17.5975  1.31299e-05
      17.8337  1.29921e-05
      18.0730  1.28570e-05
      18.3156  1.27133e-05
      18.5615  1.25644e-05
      18.8106  1.24148e-05
      19.0631  1.22641e-05
      19.3190  1.21048e-05
      19.5783  1.19572e-05
      19.8411  1.18028e-05
      20.1074  1.16404e-05
      20.3773  1.14866e-05
      20.6508  1.13235e-05
      20.9280  1.11641e-05
      21.2089  1.09974e-05
      21.4936  1.08309e-05
      21.7821  1.06696e-05
      22.0745  1.05056e-05
      22.3708  1.03430e-05
      22.6710  1.01714e-05
      22.9753  1.00128e-05
      23.2837  9.84717e-06
      23.5963  9.68166e-06
      23.9130  9.51493e-06
      24.2340  9.34956e-06
      24.5592  9.17858e-06
      24.8889  9.00917e-06
      25.2230  8.83619e-06
      25.5615  8.66769e-06
      25.9046  8.50026e-06
      26.2523  8.34032e-06
      26.6047  8.17414e-06
      26.9618  8.01336e-06
      27.3237  7.85369e-06
      27.6905  7.70250e-06
      28.0621  7.54427e-06
      28.4388  7.39229e-06
      28.8205  7.23519e-06
      29.2074  7.07535e-06
      29.5994  6.92702e-06
      29.9967  6.77244e-06
      30.3994  6.62409e-06
      30.8074  6.47929e-06
      31.2209  6.33136e-06
      31.6400  6.18182e-06
      32.0647  6.03850e-06
      32.4951  5.88973e-06
      32.9312  5.75331e-06
      33.3733  5.61931e-06
      33.8212  5.48311e-06
      34.2752  5.35063e-06
      34.7352  5.21691e-06
      35.2015  5.08913e-06
      35.6740  4.96101e-06
      36.1528  4.84132e-06
      36.6381  4.72235e-06
      37.1299  4.60344e-06
      37.6283  4.48960e-06
      38.1333  4.37667e-06
      38.6452  4.26263e-06
      39.1639  4.14983e-06
      39.6896  4.04359e-06
      40.2223  3.93451e-06
      40.7622  3.82488e-06
      41.3093  3.72188e-06
      41.8638  3.62041e-06
      42.4257  3.52399e-06
      42.9952  3.42905e-06
      43.5723  3.33453e-06
      44.1572  3.24102e-06
      44.7499  3.14863e-06
      45.3505  3.05606e-06
      45.9592  2.96382e-06
      46.5761  2.87829e-06
      47.2013  2.78908e-06
      47.8349  2.70434e-06
      48.4769  2.62342e-06
      49.1276  2.53994e-06
      49.7870  2.45925e-06
      50.4553  2.37989e-06
      51.1326  2.30180e-06
      51.8189  2.22075e-06
      52.5145  2.14428e-06
      53.2193  2.07225e-06
      53.9337  2.00147e-06
      54.6576  1.93124e-06
      55.3912  1.86084e-06
      56.1347  1.79344e-06
      56.8882  1.72732e-06
      57.6518  1.66283e-06
      58.4257  1.59832e-06
      59.2099  1.53374e-06
      60.0046  1.47182e-06
      60.8101  1.41239e-06
      61.6263  1.35295e-06
      62.4535  1.29704e-06
      63.2918  1.24236e-06
      64.1413  1.18727e-06
      65.0022  1.13412e-06
      65.8747  1.08217e-06
      66.7590  1.03146e-06
      67.6550  9.81724e-07
      68.5631  9.34303e-07
      69.4834  8.87825e-07
      70.4161  8.44588e-07
      71.3613  8.01545e-07
      72.3191  7.59494e-07
      73.2898  7.18477e-07
      74.2736  6.80253e-07
      75.2705  6.45099e-07
      76.2808  6.10606e-07
      77.3047  5.76003e-07
      78.3423  5.42111e-07
      79.3939  5.10675e-07
      80.4596  4.80991e-07
      81.5396  4.53703e-07
      82.6341  4.26754e-07
      83.7432  4.00623e-07
      84.8673  3.77072e-07
      86.0064  3.55983e-07
      87.1609  3.35490e-07
      88.3308  3.16384e-07
      89.5164  2.99055e-07
      90.7180  2.83785e-07
      91.9356  2.69750e-07
      93.1696  2.56709e-07
      94.4202  2.43852e-07
      95.6876  2.32726e-07
      96.9720  2.22650e-07
      98.2736  2.14122e-07
      99.5927  2.05793e-07
      100.929  1.98203e-07
      102.284  1.91715e-07
      103.657  1.85593e-07
      105.048  1.79337e-07
      106.458  1.73365e-07
      107.887  1.67716e-07
      109.336  1.62553e-07
      110.803  1.58568e-07
      112.290  1.54919e-07
      113.798  1.51730e-07
      115.325  1.48850e-07
      116.873  1.46259e-07
      118.442  1.44089e-07
      120.032  1.42157e-07
      121.643  1.40349e-07
      123.275  1.38187e-07
      124.930  1.36403e-07
      126.607  1.34503e-07
      128.306  1.32574e-07
      130.029  1.31085e-07
      131.774  1.29433e-07
      133.543  1.27828e-07
      135.335  1.26569e-07
      137.152  1.25184e-07
      138.993  1.24376e-07
      140.858  1.23373e-07
      142.749  1.22458e-07
      144.665  1.21269e-07
      146.607  1.20414e-07
      148.575  1.19526e-07
      150.569  1.18303e-07
      152.590  1.17366e-07
      154.638  1.16489e-07
      156.714  1.15671e-07
      158.817  1.14980e-07
      160.949  1.14265e-07
      163.110  1.13490e-07
      165.299  1.12741e-07
      167.518  1.12260e-07
      169.766  1.11416e-07
