pressure (hPa)         ozone mixing ration (kg/kg)     
     0.207579   1.6396395e-06
     0.237186   1.8213940e-06
     0.271016   2.0063488e-06
     0.309671   2.1827994e-06
     0.353839   2.3894326e-06
     0.404308   2.6127083e-06
     0.461975   2.8522508e-06
     0.527867   3.1097737e-06
     0.603157   3.3927616e-06
     0.689185   3.7011400e-06
     0.787484   4.0411747e-06
     0.899804   4.4262976e-06
      1.02814   4.8533785e-06
      1.17479   5.3465959e-06
      1.34235   5.9045103e-06
      1.53381   6.5066191e-06
      1.75258   7.1590249e-06
      2.00255   7.9260731e-06
      2.28818   8.7630000e-06
      2.61454   9.6693636e-06
      2.98745   1.0706833e-05
      3.41356   1.1736200e-05
      3.90044   1.2729158e-05
      4.45676   1.3526361e-05
      5.09243   1.4166198e-05
      5.81877   1.4644040e-05
      6.64870   1.4761596e-05
      7.59701   1.4881569e-05
      8.68058   1.4825789e-05
      9.91870   1.4530169e-05
      10.0518   1.4485249e-05
      10.1868   1.4490203e-05
      10.3235   1.4487352e-05
      10.4621   1.4471998e-05
      10.6025   1.4459819e-05
      10.7448   1.4447176e-05
      10.8890   1.4399283e-05
      11.0352   1.4404815e-05
      11.1833   1.4391264e-05
      11.3334   1.4342237e-05
      11.4855   1.4263694e-05
      11.6397   1.4222555e-05
      11.7959   1.4222708e-05
      11.9543   1.4182122e-05
      12.1147   1.4209457e-05
      12.2773   1.4178633e-05
      12.4421   1.4172753e-05
      12.6091   1.4064146e-05
      12.7784   1.4009660e-05
      12.9499   1.3958982e-05
      13.1237   1.3905708e-05
      13.2999   1.3860186e-05
      13.4784   1.3819877e-05
      13.6593   1.3775076e-05
      13.8427   1.3753222e-05
      14.0285   1.3677089e-05
      14.2168   1.3601365e-05
      14.4076   1.3608679e-05
      14.6010   1.3545132e-05
      14.7970   1.3473020e-05
      14.9956   1.3372393e-05
      15.1969   1.3262861e-05
      15.4008   1.3114406e-05
      15.6076   1.3040617e-05
      15.8170   1.2884387e-05
      16.0294   1.2801772e-05
      16.2445   1.2723081e-05
      16.4626   1.2647939e-05
      16.6835   1.2470794e-05
      16.9075   1.2403636e-05
      17.1344   1.2248195e-05
      17.3644   1.2120538e-05
      17.5975   1.1951063e-05
      17.8337   1.1855336e-05
      18.0730   1.1721623e-05
      18.3156   1.1579187e-05
      18.5615   1.1491680e-05
      18.8106   1.1339286e-05
      19.0631   1.1248264e-05
      19.3190   1.1115711e-05
      19.5783   1.1006895e-05
      19.8411   1.0868155e-05
      20.1074   1.0770473e-05
      20.3773   1.0654174e-05
      20.6508   1.0472396e-05
      20.9280   1.0351158e-05
      21.2089   1.0218402e-05
      21.4936   1.0104499e-05
      21.7821   9.9666216e-06
      22.0745   9.8310884e-06
      22.3708   9.6906835e-06
      22.6710   9.5412004e-06
      22.9753   9.4427645e-06
      23.2837   9.3041907e-06
      23.5963   9.1858632e-06
      23.9130   9.0343093e-06
      24.2340   8.9391772e-06
      24.5592   8.7896709e-06
      24.8889   8.6397615e-06
      25.2230   8.5385985e-06
      25.5615   8.4089206e-06
      25.9046   8.2690652e-06
      26.2523   8.1600802e-06
      26.6047   8.0081565e-06
      26.9618   7.8971935e-06
      27.3237   7.7535634e-06
      27.6905   7.6200616e-06
      28.0621   7.4771341e-06
      28.4388   7.3744154e-06
      28.8205   7.2534111e-06
      29.2074   7.1310803e-06
      29.5994   7.0551295e-06
      29.9967   6.9363382e-06
      30.3994   6.7960417e-06
      30.8074   6.6824601e-06
      31.2209   6.5546914e-06
      31.6400   6.4115060e-06
      32.0647   6.3268427e-06
      32.4951   6.1846330e-06
      32.9312   6.1156277e-06
      33.3733   6.0010702e-06
      33.8212   5.9232900e-06
      34.2752   5.7671872e-06
      34.7352   5.6621445e-06
      35.2015   5.5341849e-06
      35.6740   5.3699049e-06
      36.1528   5.2734134e-06
      36.6381   5.1490352e-06
      37.1299   5.0453294e-06
      37.6283   4.9300751e-06
      38.1333   4.8134064e-06
      38.6452   4.7240252e-06
      39.1639   4.6260274e-06
      39.6896   4.5405080e-06
      40.2223   4.4465443e-06
      40.7622   4.3261170e-06
      41.3093   4.2116069e-06
      41.8638   4.0934730e-06
      42.4257   4.0104612e-06
      42.9952   3.9162229e-06
      43.5723   3.8226543e-06
      44.1572   3.7349773e-06
      44.7499   3.6269956e-06
      45.3505   3.5073759e-06
      45.9592   3.4047469e-06
      46.5761   3.3029250e-06
      47.2013   3.1945883e-06
      47.8349   3.1000117e-06
      48.4769   3.0138232e-06
      49.1276   2.8957868e-06
      49.7870   2.7861724e-06
      50.4553   2.7013508e-06
      51.1326   2.6087448e-06
      51.8189   2.5191197e-06
      52.5145   2.4298661e-06
      53.2193   2.3377242e-06
      53.9337   2.2435557e-06
      54.6576   2.1662232e-06
      55.3912   2.0893357e-06
      56.1347   2.0301392e-06
      56.8882   1.9744559e-06
      57.6518   1.9277974e-06
      58.4257   1.8553621e-06
      59.2099   1.7920256e-06
      60.0046   1.7333831e-06
      60.8101   1.6764816e-06
      61.6263   1.6141098e-06
      62.4535   1.5463934e-06
      63.2918   1.4743252e-06
      64.1413   1.4123263e-06
      65.0022   1.3510798e-06
      65.8747   1.2871369e-06
      66.7590   1.2281929e-06
