pressure (hPa)         ozone mixing ration (kg/kg)
     0.207579  1.62257e-06
     0.237186  1.79115e-06
     0.271016  1.96255e-06
     0.309671  2.13830e-06
     0.353839  2.33331e-06
     0.404308  2.54169e-06
     0.461975  2.76454e-06
     0.527867  3.02276e-06
     0.603157  3.30509e-06
     0.689185  3.61283e-06
     0.787484  3.97144e-06
     0.899804  4.37926e-06
      1.02814  4.82964e-06
      1.17479  5.33985e-06
      1.34235  5.92280e-06
      1.53381  6.56089e-06
      1.75258  7.26662e-06
      2.00255  8.07454e-06
      2.28818  8.94012e-06
      2.61454  9.86130e-06
      2.98745  1.08472e-05
      3.41356  1.17903e-05
      3.90044  1.26765e-05
      4.45676  1.33831e-05
      5.09243  1.40558e-05
      5.81877  1.46736e-05
      6.64870  1.51662e-05
      7.59701  1.56440e-05
      8.68058  1.59504e-05
      9.91870  1.60103e-05
      10.0518  1.59961e-05
      10.1868  1.59846e-05
      10.3235  1.59858e-05
      10.4621  1.59684e-05
      10.6025  1.59605e-05
      10.7448  1.59374e-05
      10.8890  1.59165e-05
      11.0352  1.59044e-05
      11.1833  1.58837e-05
      11.3334  1.58676e-05
      11.4855  1.58378e-05
      11.6397  1.58121e-05
      11.7959  1.57763e-05
      11.9543  1.57515e-05
      12.1147  1.57099e-05
      12.2773  1.56520e-05
      12.4421  1.55945e-05
      12.6091  1.55401e-05
      12.7784  1.54775e-05
      12.9499  1.54144e-05
      13.1237  1.53493e-05
      13.2999  1.52762e-05
      13.4784  1.52082e-05
      13.6593  1.51337e-05
      13.8427  1.50624e-05
      14.0285  1.49847e-05
      14.2168  1.49020e-05
      14.4076  1.48154e-05
      14.6010  1.47201e-05
      14.7970  1.46218e-05
      14.9956  1.45186e-05
      15.1969  1.44117e-05
      15.4008  1.42974e-05
      15.6076  1.41825e-05
      15.8170  1.40691e-05
      16.0294  1.39483e-05
      16.2445  1.38246e-05
      16.4626  1.37002e-05
      16.6835  1.35713e-05
      16.9075  1.34443e-05
      17.1344  1.33162e-05
      17.3644  1.31818e-05
      17.5975  1.30470e-05
      17.8337  1.29093e-05
      18.0730  1.27717e-05
      18.3156  1.26301e-05
      18.5615  1.24896e-05
      18.8106  1.23443e-05
      19.0631  1.21983e-05
      19.3190  1.20449e-05
      19.5783  1.18943e-05
      19.8411  1.17418e-05
      20.1074  1.15762e-05
      20.3773  1.14252e-05
      20.6508  1.12659e-05
      20.9280  1.11091e-05
      21.2089  1.09498e-05
      21.4936  1.07904e-05
      21.7821  1.06324e-05
      22.0745  1.04712e-05
      22.3708  1.03111e-05
      22.6710  1.01507e-05
      22.9753  9.99076e-06
      23.2837  9.82936e-06
      23.5963  9.66300e-06
      23.9130  9.49565e-06
      24.2340  9.33317e-06
      24.5592  9.16708e-06
      24.8889  9.00212e-06
      25.2230  8.83103e-06
      25.5615  8.66525e-06
      25.9046  8.49913e-06
      26.2523  8.33877e-06
      26.6047  8.16943e-06
      26.9618  8.00986e-06
      27.3237  7.84597e-06
      27.6905  7.69295e-06
      28.0621  7.53315e-06
      28.4388  7.37558e-06
      28.8205  7.21883e-06
      29.2074  7.05756e-06
      29.5994  6.90685e-06
      29.9967  6.75404e-06
      30.3994  6.60056e-06
      30.8074  6.45054e-06
      31.2209  6.30251e-06
      31.6400  6.15658e-06
      32.0647  6.01171e-06
      32.4951  5.86533e-06
      32.9312  5.72515e-06
      33.3733  5.58973e-06
      33.8212  5.45039e-06
