pressure (hPa)         ozone mixing ration (kg/kg)     
     0.207579   1.6377884e-06
     0.237186   1.8216302e-06
     0.271016   2.0084164e-06
     0.309671   2.1927725e-06
     0.353839   2.3967887e-06
     0.404308   2.6141640e-06
     0.461975   2.8458544e-06
     0.527867   3.1105841e-06
     0.603157   3.3958573e-06
     0.689185   3.7029107e-06
     0.787484   4.0557088e-06
     0.899804   4.4591498e-06
      1.02814   4.9082289e-06
      1.17479   5.4259294e-06
      1.34235   6.0239162e-06
      1.53381   6.6790279e-06
      1.75258   7.4011903e-06
      2.00255   8.2246466e-06
      2.28818   9.1010558e-06
      2.61454   1.0027147e-05
      2.98745   1.0990562e-05
      3.41356   1.1891504e-05
      3.90044   1.2710971e-05
      4.45676   1.3300189e-05
      5.09243   1.3819561e-05
      5.81877   1.4227856e-05
      6.64870   1.4384385e-05
      7.59701   1.4574851e-05
      8.68058   1.4645218e-05
      9.91870   1.4626408e-05
      10.0518   1.4601302e-05
      10.1868   1.4576806e-05
      10.3235   1.4574384e-05
      10.4621   1.4565608e-05
      10.6025   1.4545503e-05
      10.7448   1.4532707e-05
      10.8890   1.4515150e-05
      11.0352   1.4504354e-05
      11.1833   1.4492569e-05
      11.3334   1.4461018e-05
      11.4855   1.4425744e-05
      11.6397   1.4410214e-05
      11.7959   1.4386298e-05
      11.9543   1.4366827e-05
      12.1147   1.4337558e-05
      12.2773   1.4281448e-05
      12.4421   1.4232344e-05
      12.6091   1.4166008e-05
      12.7784   1.4116611e-05
      12.9499   1.4050608e-05
      13.1237   1.4029660e-05
      13.2999   1.3949940e-05
      13.4784   1.3893382e-05
      13.6593   1.3872294e-05
      13.8427   1.3823128e-05
      14.0285   1.3769049e-05
      14.2168   1.3704800e-05
      14.4076   1.3643895e-05
      14.6010   1.3574572e-05
      14.7970   1.3484919e-05
      14.9956   1.3410112e-05
      15.1969   1.3311581e-05
      15.4008   1.3235718e-05
      15.6076   1.3135112e-05
      15.8170   1.3013326e-05
      16.0294   1.2929034e-05
      16.2445   1.2825252e-05
      16.4626   1.2731622e-05
      16.6835   1.2612464e-05
      16.9075   1.2493341e-05
      17.1344   1.2387175e-05
      17.3644   1.2266975e-05
      17.5975   1.2143559e-05
      17.8337   1.2021353e-05
      18.0730   1.1910885e-05
      18.3156   1.1769183e-05
      18.5615   1.1668006e-05
      18.8106   1.1535473e-05
      19.0631   1.1427072e-05
      19.3190   1.1286657e-05
      19.5783   1.1158255e-05
      19.8411   1.1025456e-05
      20.1074   1.0881202e-05
      20.3773   1.0754432e-05
      20.6508   1.0592167e-05
      20.9280   1.0468088e-05
      21.2089   1.0322962e-05
      21.4936   1.0193089e-05
      21.7821   1.0037152e-05
      22.0745   9.8973868e-06
      22.3708   9.7623568e-06
      22.6710   9.6328706e-06
      22.9753   9.4783604e-06
      23.2837   9.3488298e-06
      23.5963   9.1991505e-06
      23.9130   9.0536918e-06
      24.2340   8.9137317e-06
      24.5592   8.7690697e-06
      24.8889   8.6154190e-06
      25.2230   8.4919039e-06
      25.5615   8.3553112e-06
      25.9046   8.2064722e-06
      26.2523   8.0741710e-06
      26.6047   7.9273099e-06
      26.9618   7.7968851e-06
      27.3237   7.6433172e-06
      27.6905   7.4960589e-06
      28.0621   7.3532635e-06
      28.4388   7.2190190e-06
      28.8205   7.0898337e-06
      29.2074   6.9258230e-06
      29.5994   6.8200795e-06
      29.9967   6.6913354e-06
      30.3994   6.5386865e-06
      30.8074   6.4056011e-06
      31.2209   6.2685179e-06
      31.6400   6.1436096e-06
      32.0647   6.0098735e-06
      32.4951   5.8878213e-06
      32.9312   5.7669439e-06
      33.3733   5.6454609e-06
      33.8212   5.5222355e-06
      34.2752   5.3865912e-06
      34.7352   5.2721197e-06
      35.2015   5.1441961e-06
      35.6740   5.0165851e-06
      36.1528   4.9050495e-06
      36.6381   4.7859607e-06
      37.1299   4.6732950e-06
      37.6283   4.5516389e-06
      38.1333   4.4394120e-06
      38.6452   4.3288743e-06
      39.1639   4.2210358e-06
      39.6896   4.1114526e-06
      40.2223   4.0040278e-06
      40.7622   3.8920443e-06
      41.3093   3.7829624e-06
      41.8638   3.6789375e-06
      42.4257   3.5722619e-06
      42.9952   3.4719892e-06
      43.5723   3.3731359e-06
      44.1572   3.2770685e-06
      44.7499   3.1724423e-06
      45.3505   3.0693688e-06
      45.9592   2.9721918e-06
      46.5761   2.8782601e-06
      47.2013   2.7842332e-06
      47.8349   2.7029927e-06
      48.4769   2.6173346e-06
      49.1276   2.5330789e-06
      49.7870   2.4455811e-06
      50.4553   2.3560568e-06
      51.1326   2.2743520e-06
      51.8189   2.1815774e-06
      52.5145   2.1000621e-06
      53.2193   2.0225789e-06
      53.9337   1.9442638e-06
      54.6576   1.8721699e-06
      55.3912   1.7994352e-06
      56.1347   1.7356470e-06
      56.8882   1.6672439e-06
      57.6518   1.6058454e-06
      58.4257   1.5351070e-06
      59.2099   1.4692299e-06
      60.0046   1.4049062e-06
      60.8101   1.3439626e-06
      61.6263   1.2847364e-06
      62.4535   1.2281127e-06
      63.2918   1.1720692e-06
      64.1413   1.1156019e-06
      65.0022   1.0673233e-06
      65.8747   1.0177559e-06
      66.7590   9.6835978e-07
      67.6550   9.2026495e-07
      68.5631   8.7839879e-07
      69.4834   8.2555959e-07
      70.4161   7.7666277e-07
      71.3613   7.3167863e-07
      72.3191   6.8900019e-07
      73.2898   6.4668061e-07
      74.2736   6.0688907e-07
      75.2705   5.6793391e-07
      76.2808   5.2828829e-07
      77.3047   4.9284658e-07
      78.3423   4.6011731e-07
      79.3939   4.2857254e-07
      80.4596   4.0098984e-07
      81.5396   3.7625866e-07
      82.6341   3.5282331e-07
      83.7432   3.3110817e-07
      84.8673   3.1119878e-07
      86.0064   2.9094746e-07
      87.1609   2.7380804e-07
      88.3308   2.6022141e-07
      89.5164   2.4814935e-07
      90.7180   2.3593643e-07
      91.9356   2.2373420e-07
      93.1696   2.1145458e-07
      94.4202   1.9968264e-07
      95.6876   1.8968910e-07
      96.9720   1.7961589e-07
      98.2736   1.7170032e-07
      99.5927   1.6489831e-07
      100.929   1.5744415e-07
      102.284   1.5083166e-07
      103.657   1.4507252e-07
      105.048   1.3984321e-07
      106.458   1.3413943e-07
      107.887   1.2797965e-07
      109.336   1.2337188e-07
      110.803   1.1929072e-07
      112.290   1.1574879e-07
      113.798   1.1160136e-07
      115.325   1.0810364e-07
      116.873   1.0502735e-07
      118.442   1.0240600e-07
      120.032   9.9672224e-08
      121.643   9.7633285e-08
      123.275   9.4636489e-08
      124.930   9.2098666e-08
      126.607   8.9975874e-08
      128.306   8.8304261e-08
      130.029   8.6541688e-08
      131.774   8.4370120e-08
      133.543   8.2483087e-08
      135.335   8.1747773e-08
      137.152   8.0160723e-08
      138.993   7.8619826e-08
      140.858   7.7341850e-08
      142.749   7.5503663e-08
      144.665   7.4033938e-08
      146.607   7.2342843e-08
      148.575   7.1264371e-08
      150.569   6.9592933e-08
      152.590   6.7663495e-08
      154.638   6.6036770e-08
      156.714   6.4193340e-08
      158.817   6.2740269e-08
      160.949   6.1452204e-08
      163.110   6.0679094e-08
      165.299   5.9853692e-08
      167.518   5.8381800e-08
      169.766   5.7735421e-08
      172.045   5.7010060e-08
      174.354   5.5605343e-08
      176.694   5.5111966e-08
      179.066   5.4465047e-08
      181.470   5.4476604e-08
      183.905   5.4222437e-08
      186.374   5.3930327e-08
      188.876   5.3485361e-08
      191.411   5.3626119e-08
      193.980   5.3239355e-08
      196.584   5.3142361e-08
      199.222   5.2578000e-08
      201.896   5.2042842e-08
      204.606   5.1984648e-08
      207.353   5.1581046e-08
      210.136   5.1278437e-08
      212.957   5.1163343e-08
      215.815   5.1182462e-08
      218.712   5.0912666e-08
      221.647   5.0797120e-08
      224.623   5.0772608e-08
      227.638   5.0375886e-08
      230.693   5.0181659e-08
      233.790   5.0162445e-08
      236.928   4.9979416e-08
      240.108   5.0077062e-08
      243.331   5.0151436e-08
      246.597   5.0346608e-08
      249.907   5.0493728e-08
      253.261   5.0551453e-08
      256.661   5.0805547e-08
      260.106   5.0849293e-08
      263.597   5.1367764e-08
      267.135   5.1590875e-08
      270.721   5.1489138e-08
      274.355   5.1610093e-08
      278.037   5.1955596e-08
      281.769   5.2371305e-08
      285.551   5.2625175e-08
      289.384   5.2555281e-08
      293.268   5.2973993e-08
      297.205   5.3582231e-08
      301.194   5.3547914e-08
      305.237   5.4097123e-08
      309.334   5.4646332e-08
      313.486   5.5195542e-08
      317.694   5.5744771e-08
      321.958   5.6293980e-08
      326.280   5.6843190e-08
      330.659   5.7392399e-08
      335.098   5.7941609e-08
      339.596   5.8490818e-08
      344.154   5.9040027e-08
      348.773   5.9366070e-08
      353.455   5.9692113e-08
      358.199   6.0018157e-08
      363.007   6.0344200e-08
      367.879   6.0670243e-08
      372.817   6.0996286e-08
      377.822   6.1322329e-08
      382.893   6.1648372e-08
      388.032   6.1974415e-08
      393.241   6.2300457e-08
      398.519   6.2500040e-08
      403.868   6.2699623e-08
      409.289   6.2899205e-08
      414.783   6.3098788e-08
      420.350   6.3298370e-08
      425.993   6.3497953e-08
      431.711   6.3697536e-08
      437.505   6.3897118e-08
      443.378   6.4096701e-08
      449.329   6.4296283e-08
      455.360   6.4152865e-08
      461.472   6.4009446e-08
      467.667   6.3866023e-08
      473.944   6.3722604e-08
      480.305   6.3579186e-08
      486.752   6.3435767e-08
      493.286   6.3292349e-08
      499.907   6.3148930e-08
      506.617   6.3005512e-08
      513.417   6.2862092e-08
      520.309   6.2160346e-08
      527.293   6.1458599e-08
      534.370   6.0756852e-08
      541.543   6.0055106e-08
      548.812   5.9353359e-08
      556.178   5.8651612e-08
      563.644   5.7949866e-08
      571.209   5.7248119e-08
      578.876   5.6546372e-08
      586.646   5.5844626e-08
      594.521   5.5380013e-08
      602.501   5.4915401e-08
      610.588   5.4450789e-08
      618.783   5.3986177e-08
      627.089   5.3521564e-08
      635.506   5.3056952e-08
      644.036   5.2592340e-08
      652.681   5.2127728e-08
      661.442   5.1663115e-08
      670.320   5.1198503e-08
      679.318   5.0129514e-08
      688.436   4.9060524e-08
      697.676   4.7991534e-08
      707.041   4.6922543e-08
      716.531   4.5853553e-08
      726.149   4.4784563e-08
      735.896   4.3715572e-08
      745.773   4.2646582e-08
      755.784   4.1577592e-08
      765.928   4.0508602e-08
      776.209   3.9773775e-08
      786.628   3.9038947e-08
      797.187   3.8304094e-08
      807.887   3.7569266e-08
      818.731   3.6834439e-08
      829.721   3.6099612e-08
      840.857   3.5364785e-08
      852.144   3.4629957e-08
      863.582   3.3895130e-08
      875.174   3.3160303e-08
      886.921   3.2636517e-08
      898.825   3.2112731e-08
      910.890   3.1588945e-08
      923.117   3.1065159e-08
      935.507   3.0541373e-08
      948.064   3.0017587e-08
      960.790   2.9493802e-08
      973.686   2.8970016e-08
      986.755   2.8446230e-08
      1000.00   2.7922444e-08
