#of levels:        295
base height:     0.10933494
altitude (km)    pressure (hPa)  temperature (K)  water vapor mixing ratio (kg/kg) ozone mixing ratio(kg/kg)
       59.772966     0.207579       251.06124   3.8366031e-06   1.6158841e-06
       58.790581     0.237186       252.42507   3.8368367e-06   1.7831902e-06
       57.802875     0.271016       253.78889   3.8461198e-06   1.9534286e-06
       56.809846     0.309671       255.15271   3.8685590e-06   2.1281622e-06
       55.811495     0.353839       256.51653   3.8865889e-06   2.3215578e-06
       54.807821     0.404308       257.88035   3.8994107e-06   2.5281544e-06
       53.798825     0.461975       259.24417   3.9057549e-06   2.7491079e-06
       52.786023     0.527867       259.83158   3.8987790e-06   3.0057583e-06
       51.770984     0.603157       260.39052   3.8836482e-06   3.2873532e-06
       50.753769     0.689185       260.94695   3.8607223e-06   3.5951785e-06
       49.734434     0.787484       261.47686   3.8285652e-06   3.9547152e-06
       48.713032     0.899804       262.00676   3.7929654e-06   4.3640897e-06
       47.689744      1.02814       262.44230   3.7544662e-06   4.8159121e-06
       46.665458      1.17479       262.51883   3.7120744e-06   5.3258887e-06
       45.640875      1.34235       262.59536   3.6709854e-06   5.9075109e-06
       44.616934      1.53381       262.18920   3.6249069e-06   6.5437978e-06
       43.596491      1.75258       260.80271   3.5679005e-06   7.2474087e-06
       42.581458      2.00255       259.41622   3.5018444e-06   8.0550613e-06
       41.572586      2.28818       257.64490   3.4337828e-06   8.9218053e-06
       40.571540      2.61454       255.40643   3.3648895e-06   9.8456844e-06
       39.579228      2.98745       253.16797   3.3065893e-06   1.0839084e-05
       38.595868      3.41356       250.81879   3.2424894e-06   1.1792718e-05
       37.621838      3.90044       248.38582   3.1748845e-06   1.2689619e-05
       36.657333      4.45676       245.93693   3.1130553e-06   1.3411240e-05
       35.702822      5.09243       243.26344   3.0483417e-06   1.4094119e-05
       34.758960      5.81877       240.48066   2.9855281e-06   1.4728147e-05
       33.825839      6.64870       237.75719   2.9319051e-06   1.5245177e-05
       32.902468      7.59701       235.48453   2.8737617e-06   1.5751335e-05
       31.987512      8.68058       233.44382   2.7893826e-06   1.6093343e-05
       31.080306      9.91870       231.51233   2.7984933e-06   1.6203454e-05
       30.989999      10.0518       231.32411   2.8033610e-06   1.6199080e-05
       30.899762      10.1868       231.15560   2.8082289e-06   1.6193355e-05
       30.809589      10.3235       230.99260   2.8130966e-06   1.6200557e-05
       30.719479      10.4621       230.83599   2.8179643e-06   1.6188260e-05
       30.629431      10.6025       230.67633   2.8228321e-06   1.6180478e-05
       30.539443      10.7448       230.52594   2.8276997e-06   1.6159252e-05
       30.449512      10.8890       230.38178   2.8325675e-06   1.6144656e-05
       30.359640      11.0352       230.22692   2.8374353e-06   1.6131994e-05
       30.269826      11.1833       230.07981   2.8423030e-06   1.6111088e-05
       30.180070      11.3334       229.93044   2.8471708e-06   1.6095493e-05
       30.090373      11.4855       229.78288   2.8520385e-06   1.6065652e-05
       30.000735      11.6397       229.62712   2.8569062e-06   1.6037969e-05
       29.911155      11.7959       229.48322   2.8617739e-06   1.6006233e-05
       29.821635      11.9543       229.31763   2.8666414e-06   1.5979131e-05
       29.732182      12.1147       229.14626   2.8749561e-06   1.5940933e-05
       29.642793      12.2773       228.98628   2.8838702e-06   1.5880958e-05
       29.553467      12.4421       228.82322   2.8927857e-06   1.5820665e-05
       29.464204      12.6091       228.66061   2.9017000e-06   1.5764180e-05
       29.375006      12.7784       228.49384   2.9106145e-06   1.5699095e-05
       29.285871      12.9499       228.33742   2.9420310e-06   1.5628156e-05
       29.196799      13.1237       228.17097   2.9127126e-06   1.5561498e-05
       29.107791      13.2999       228.00617   2.8721456e-06   1.5486960e-05
       29.018848      13.4784       227.83619   2.8970796e-06   1.5413256e-05
       28.929971      13.6593       227.67171   2.9193959e-06   1.5335610e-05
       28.841159      13.8427       227.50383   2.9392565e-06   1.5257856e-05
       28.752416      14.0285       227.31625   2.9615498e-06   1.5175252e-05
       28.663741      14.2168       227.14937   2.9439122e-06   1.5085861e-05
       28.575134      14.4076       226.97639   2.9952015e-06   1.4992646e-05
       28.486592      14.6010       226.81226   3.0017015e-06   1.4891068e-05
       28.398117      14.7970       226.63617   2.9741079e-06   1.4786034e-05
       28.309709      14.9956       226.46779   2.9703049e-06   1.4677938e-05
       28.221371      15.1969       226.27638   2.9365814e-06   1.4567325e-05
       28.133106      15.4008       226.09415   2.9462925e-06   1.4447101e-05
       28.044910      15.6076       225.92340   2.9144419e-06   1.4325190e-05
       27.956786      15.8170       225.72769   2.8929684e-06   1.4203934e-05
       27.868738      16.0294       225.53126   2.8815836e-06   1.4073974e-05
       27.780765      16.2445       225.34380   2.8740044e-06   1.3942257e-05
       27.692865      16.4626       225.15850   2.8451007e-06   1.3809853e-05
       27.605037      16.6835       224.97229   2.8205605e-06   1.3673233e-05
       27.517281      16.9075       224.79064   2.8018805e-06   1.3538304e-05
       27.429596      17.1344       224.61113   2.8023472e-06   1.3399323e-05
